#Insert size (bp)	insert size
219.0	18218.0
220.0	17987.0
221.0	17873.0
222.0	17918.0
223.0	17638.0
224.0	17609.0
225.0	17422.0
226.0	17418.0
227.0	17193.0
228.0	17239.0
229.0	16682.0
230.0	16787.0
231.0	16408.0
232.0	16673.0
233.0	16182.0
234.0	16487.0
235.0	16371.0
236.0	15711.0
237.0	16103.0
238.0	15734.0
239.0	15424.0
240.0	15808.0
241.0	15713.0
242.0	15209.0
243.0	15037.0
244.0	14997.0
245.0	15409.0
246.0	14912.0
247.0	14764.0
248.0	14817.0
249.0	14557.0
250.0	14179.0
251.0	14632.0
252.0	14291.0
253.0	14150.0
254.0	13908.0
255.0	14190.0
256.0	14273.0
257.0	13693.0
258.0	13873.0
259.0	14119.0
260.0	13684.0
261.0	13596.0
262.0	13565.0
263.0	13552.0
264.0	13367.0
265.0	13370.0
266.0	13552.0
267.0	12944.0
268.0	12872.0
269.0	12869.0
270.0	12962.0
271.0	12707.0
272.0	12754.0
273.0	12682.0
274.0	12486.0
275.0	12581.0
276.0	12396.0
277.0	12330.0
278.0	12410.0
279.0	12199.0
280.0	12427.0
281.0	12431.0
282.0	12137.0
283.0	11834.0
284.0	11863.0
285.0	11794.0
286.0	11680.0
287.0	11610.0
288.0	11460.0
289.0	11170.0
290.0	11014.0
291.0	10851.0
292.0	10719.0
293.0	10592.0
294.0	10658.0
295.0	10358.0
296.0	10201.0
297.0	10212.0
298.0	10175.0
299.0	10204.0
300.0	9836.0
301.0	9623.0
302.0	9785.0
303.0	9812.0
304.0	9622.0
305.0	9465.0
306.0	9450.0
307.0	9198.0
308.0	9060.0
309.0	8974.0
310.0	9124.0
311.0	8914.0
312.0	9142.0
313.0	8885.0
314.0	8686.0
315.0	8671.0
316.0	8699.0
317.0	8418.0
318.0	8737.0
319.0	8383.0
320.0	8057.0
321.0	8198.0
322.0	8061.0
323.0	8157.0
324.0	7877.0
325.0	7698.0
326.0	7874.0
327.0	7709.0
328.0	7492.0
329.0	7812.0
330.0	7478.0
331.0	7448.0
332.0	7303.0
333.0	7561.0
334.0	7379.0
335.0	7239.0
336.0	7410.0
337.0	7300.0
338.0	7212.0
339.0	7112.0
340.0	7222.0
341.0	7199.0
342.0	7030.0
343.0	7177.0
344.0	7293.0
345.0	7029.0
346.0	6903.0
347.0	7152.0
348.0	7318.0
349.0	7069.0
350.0	7144.0
351.0	6957.0
352.0	6758.0
353.0	6823.0
354.0	6846.0
355.0	6680.0
356.0	6632.0
357.0	6551.0
358.0	6516.0
359.0	6552.0
360.0	6554.0
361.0	6232.0
362.0	6334.0
363.0	6295.0
364.0	6435.0
365.0	6447.0
366.0	6103.0
367.0	6131.0
368.0	6355.0
369.0	6082.0
370.0	6082.0
371.0	5797.0
372.0	5851.0
373.0	5796.0
374.0	5770.0
375.0	5866.0
376.0	5829.0
377.0	5535.0
378.0	5776.0
379.0	5371.0
380.0	5603.0
381.0	5247.0
382.0	4715.0
383.0	5009.0
384.0	4684.0
385.0	4708.0
386.0	4772.0
387.0	4600.0
388.0	4662.0
389.0	4662.0
390.0	4586.0
391.0	4414.0
392.0	4545.0
393.0	4434.0
394.0	4347.0
395.0	4281.0
396.0	4241.0
397.0	4183.0
398.0	4194.0
399.0	4094.0
400.0	4159.0
401.0	4020.0
402.0	4136.0
403.0	4020.0
404.0	3957.0
405.0	3927.0
406.0	3898.0
407.0	3857.0
408.0	3872.0
409.0	3843.0
410.0	3666.0
411.0	3724.0
412.0	3772.0
413.0	3789.0
414.0	3573.0
415.0	3539.0
416.0	3569.0
417.0	3574.0
418.0	3469.0
419.0	3471.0
420.0	3367.0
421.0	3251.0
422.0	3443.0
423.0	3343.0
424.0	3271.0
425.0	3244.0
426.0	3345.0
427.0	3124.0
428.0	3179.0
429.0	3183.0
430.0	2987.0
431.0	3032.0
432.0	3158.0
433.0	2916.0
434.0	3027.0
435.0	2905.0
436.0	2904.0
437.0	2902.0
438.0	2803.0
439.0	2911.0
440.0	2757.0
441.0	2787.0
442.0	2833.0
443.0	2713.0
444.0	2713.0
445.0	2739.0
446.0	2714.0
447.0	2703.0
448.0	2550.0
449.0	2562.0
450.0	2574.0
451.0	2469.0
452.0	2437.0
453.0	2340.0
454.0	2458.0
455.0	2532.0
456.0	2462.0
457.0	2427.0
458.0	2427.0
459.0	2406.0
460.0	2212.0
461.0	2403.0
462.0	2463.0
463.0	2281.0
464.0	2301.0
465.0	2333.0
466.0	2229.0
467.0	2227.0
468.0	2169.0
469.0	2110.0
470.0	2128.0
471.0	2123.0
472.0	2038.0
473.0	2180.0
474.0	2039.0
475.0	2005.0
476.0	2055.0
477.0	2023.0
478.0	1937.0
479.0	1994.0
480.0	2054.0
481.0	1927.0
482.0	1909.0
483.0	1885.0
484.0	1897.0
485.0	1941.0
486.0	1830.0
487.0	1815.0
488.0	1821.0
489.0	1872.0
490.0	1786.0
491.0	1710.0
492.0	1670.0
493.0	1674.0
494.0	1647.0
495.0	1612.0
496.0	1698.0
497.0	1684.0
498.0	1637.0
499.0	1700.0
500.0	1585.0
501.0	1498.0
502.0	1618.0
503.0	1675.0
504.0	1539.0
505.0	1413.0
506.0	1452.0
507.0	1456.0
508.0	1492.0
509.0	1439.0
510.0	1477.0
511.0	1412.0
512.0	1407.0
513.0	1443.0
514.0	1291.0
515.0	1357.0
516.0	1275.0
517.0	1287.0
518.0	1303.0
519.0	1396.0
520.0	1334.0
521.0	1213.0
522.0	1219.0
523.0	1167.0
524.0	1286.0
525.0	1166.0
526.0	1206.0
527.0	1127.0
528.0	1242.0
529.0	1105.0
530.0	1152.0
531.0	1148.0
532.0	1065.0
533.0	1018.0
534.0	1037.0
535.0	1144.0
536.0	1034.0
537.0	1174.0
538.0	1032.0
539.0	1094.0
540.0	1049.0
541.0	968.0
542.0	949.0
543.0	994.0
544.0	1013.0
545.0	917.0
546.0	1046.0
547.0	957.0
548.0	947.0
549.0	954.0
550.0	992.0
551.0	895.0
552.0	898.0
553.0	934.0
554.0	888.0
555.0	881.0
556.0	855.0
557.0	877.0
558.0	868.0
559.0	906.0
560.0	828.0
561.0	837.0
562.0	878.0
563.0	849.0
564.0	798.0
565.0	777.0
566.0	776.0
567.0	762.0
568.0	774.0
569.0	771.0
570.0	784.0
571.0	774.0
572.0	739.0
573.0	781.0
574.0	767.0
575.0	738.0
576.0	748.0
577.0	744.0
578.0	696.0
579.0	784.0
580.0	659.0
581.0	683.0
582.0	728.0
583.0	685.0
584.0	752.0
585.0	649.0
586.0	689.0
587.0	715.0
588.0	689.0
589.0	739.0
590.0	684.0
591.0	724.0
592.0	677.0
593.0	707.0
594.0	662.0
595.0	644.0
596.0	656.0
597.0	623.0
598.0	653.0
599.0	590.0
600.0	598.0
601.0	627.0
602.0	668.0
603.0	640.0
604.0	564.0
605.0	645.0
606.0	561.0
607.0	587.0
608.0	604.0
609.0	628.0
610.0	556.0
611.0	612.0
612.0	582.0
613.0	520.0
614.0	537.0
615.0	519.0
616.0	529.0
617.0	550.0
618.0	528.0
619.0	527.0
620.0	523.0
621.0	554.0
622.0	538.0
623.0	532.0
624.0	593.0
625.0	564.0
626.0	475.0
627.0	576.0
628.0	499.0
629.0	499.0
630.0	488.0
631.0	491.0
632.0	508.0
633.0	509.0
634.0	498.0
635.0	554.0
636.0	492.0
637.0	489.0
638.0	509.0
639.0	569.0
640.0	502.0
641.0	475.0
642.0	511.0
643.0	489.0
644.0	491.0
645.0	550.0
646.0	491.0
647.0	459.0
648.0	491.0
649.0	503.0
650.0	452.0
651.0	506.0
652.0	517.0
653.0	518.0
654.0	453.0
655.0	522.0
656.0	431.0
657.0	477.0
658.0	483.0
659.0	521.0
660.0	445.0
661.0	482.0
662.0	395.0
663.0	492.0
664.0	441.0
665.0	487.0
666.0	508.0
667.0	491.0
668.0	484.0
669.0	534.0
670.0	424.0
671.0	449.0
672.0	437.0
673.0	498.0
674.0	465.0
675.0	494.0
676.0	438.0
677.0	445.0
678.0	490.0
679.0	414.0
680.0	485.0
681.0	466.0
682.0	451.0
683.0	416.0
684.0	431.0
685.0	396.0
686.0	451.0
687.0	384.0
688.0	427.0
689.0	388.0
690.0	438.0
691.0	391.0
692.0	424.0
693.0	449.0
694.0	391.0
695.0	454.0
696.0	421.0
697.0	398.0
698.0	412.0
699.0	365.0
700.0	337.0
701.0	317.0
702.0	377.0
703.0	378.0
704.0	339.0
705.0	353.0
706.0	409.0
707.0	366.0
708.0	360.0
709.0	341.0
710.0	348.0
711.0	380.0
712.0	331.0
713.0	386.0
714.0	347.0
715.0	327.0
716.0	338.0
717.0	358.0
718.0	323.0
719.0	379.0
720.0	428.0
721.0	341.0
722.0	352.0
723.0	371.0
724.0	353.0
725.0	357.0
726.0	354.0
727.0	378.0
728.0	328.0
729.0	342.0
730.0	326.0
731.0	310.0
732.0	331.0
733.0	388.0
734.0	383.0
735.0	306.0
736.0	351.0
737.0	339.0
738.0	348.0
739.0	313.0
740.0	356.0
741.0	337.0
742.0	350.0
743.0	316.0
744.0	331.0
