#Read position (bp)	Clipping profile
0.0	21.36754491444944
1.0	8.883710226849166
2.0	5.051842440467895
3.0	4.045865731482412
4.0	3.186227640010242
5.0	2.4450541436678974
6.0	1.9160149223254714
7.0	1.433648482648421
8.0	1.1127731086989638
9.0	0.8322502438976958
10.0	0.6573083417873731
11.0	0.4949259555765871
12.0	0.36665683513163994
13.0	0.24559930768707194
14.0	0.13572380084983357
15.0	0.10493272961225937
16.0	0.0869442616787292
17.0	0.06895579374519901
18.0	0.05364128726124765
19.0	0.04148691703588943
20.0	0.03119621691175279
21.0	0.021796837270809093
22.0	0.015233477349115647
23.0	0.009966583584793747
24.0	0.005347922899157621
25.0	0.003403223663100304
26.0	0.001701611831550152
27.0	2.430874045071646E-4
28.0	2.430874045071646E-4
29.0	8.102913483572154E-5
30.0	2.430874045071646E-4
31.0	5.672039438500507E-4
32.0	3.2411653934288616E-4
33.0	4.861748090143292E-4
34.0	8.102913483572154E-5
35.0	5.672039438500507E-4
36.0	0.001215437022535823
37.0	8.102913483572153E-4
38.0	8.913204831929368E-4
39.0	8.102913483572153E-4
40.0	0.001701611831550152
41.0	0.0021877866405644814
42.0	0.0016205826967144307
43.0	0.0019446992360573167
44.0	0.0018636701012215953
45.0	0.0028360197192502535
46.0	0.0021877866405644814
47.0	0.0025929323147430893
48.0	0.002754990584414532
49.0	0.003565281932771747
50.0	0.0037273402024431907
51.0	0.0051858646294861786
52.0	0.005509981168829064
53.0	0.0049427772249790135
54.0	0.006563359921693444
55.0	0.007859826079064988
56.0	0.007373651270050659
57.0	0.009480408775779419
58.0	0.010938933202822406
59.0	0.011182020607329571
60.0	0.011425108011836736
61.0	0.014585244270429875
62.0	0.016773030910994358
63.0	0.020500371113437547
64.0	0.02325536169785208
65.0	0.0244707987203879
66.0	0.024551827855223626
67.0	0.02754990584414532
68.0	0.03427532403551021
69.0	0.03719237288959618
70.0	0.04124382963138226
71.0	0.041973091844903755
72.0	0.04521425723833262
73.0	0.05040012186781879
74.0	0.05615319044115502
75.0	0.05728759832885512
76.0	0.06684903623947026
77.0	0.07397960010501375
78.0	0.0786792899254856
79.0	0.08548573725168622
80.0	0.09067160188117239
81.0	0.10112436027498047
82.0	0.1072825745224953
83.0	0.11959900301752498
84.0	0.1242176637031611
85.0	0.13612894652401217
86.0	0.14236818990636274
87.0	0.1448800930862701
88.0	0.1502280159854277
89.0	0.15946533735669996
90.0	0.1712955910427153
91.0	0.18474642742544511
92.0	0.20079019612291796
93.0	0.21399794510114056
94.0	0.2317433256301636
95.0	0.2480301817321436
96.0	0.23806359814734987
97.0	0.24373563758585035
98.0	0.256943386564073
99.0	0.2650463000476451
100.0	0.2819003600934752
101.0	0.28959812790286876
102.0	0.2878965160713186
103.0	0.2989164784089767
104.0	0.3179583250953713
105.0	0.32889725829819366
106.0	0.34332044429895214
107.0	0.3291403457027009
108.0	0.34032236631003043
109.0	0.34712881363623105
110.0	0.3489924837374526
111.0	0.3510992412431814
112.0	0.3565281932771747
113.0	0.372166816300469
114.0	0.36900668004187587
115.0	0.37346328245784055
116.0	0.3838350117168129
117.0	0.38513147787418445
118.0	0.38545559441352734
119.0	0.38513147787418445
120.0	0.3914517503913707
121.0	0.39777202290855695
122.0	0.4096022765945723
123.0	0.41495019949373
124.0	0.44865831958539015
125.0	0.5730380415582227
126.0	0.5911885677614243
127.0	0.7095721337564135
128.0	0.7979749198621856
129.0	0.8811918413384717
130.0	0.9758338708265945
131.0	1.1024824085748273
132.0	1.18537521351177
133.0	1.3710129614204083
134.0	1.634195591366832
135.0	1.948669663664267
136.0	2.348548444078553
137.0	2.769413770415291
138.0	3.2280386735854747
139.0	6.3346957031870375
140.0	7.52590501440698
