#Position (bp)	insert size
489278.5	11446.270351390922
1467834.5	3798.542656112577
2446390.5	1967.0592874807833
3424946.5	1381.648110246964
4403502.5	1151.7497507477567
5382058.5	4036.778368355995
6360614.5	652.5293315917996
7339170.5	841.7895760404512
8317726.5	4626.016971279373
9296282.5	4081.854007249295
1.02748385E7	875.9521027139233
1.12533945E7	526.8523947151115
1.22319505E7	656.2567185289957
1.32105065E7	828.2345483359746
1.41890625E7	617.0073462488623
1.51676185E7	2253.465011754944
1.61461745E7	1713.9537016815898
1.71247305E7	401.11909262759923
1.81032865E7	595.066355252126
1.90818425E7	1787.219139596137
2.00603985E7	470.3042811781452
2.10389545E7	823.9065711537488
2.20175105E7	1217.6278763971072
2.29960665E7	548.39991804958
2.39746225E7	500.02993865030675
2.49531785E7	481.120097261867
2.59317345E7	847.8483612131103
2.69102905E7	9532.316447865833
2.78888465E7	824.6460019423762
2.88674025E7	1136.2594455742267
2.98459585E7	643.2482339643967
3.08245145E7	1232.4896584896585
3.18030705E7	799.0094667697064
3.27816265E7	719.3161724858713
3.37601825E7	8155.556377030028
3.47387385E7	1902.9289658463426
3.57172945E7	7583.3880635245905
3.66958505E7	5105.747377857463
3.76744065E7	1645.0846696200163
3.86529625E7	8728.383163780383
3.96315185E7	3043.4080400865505
4.06100745E7	3942.759367599944
4.15886305E7	1034.6069394782148
4.25671865E7	474.5801413164745
4.35457425E7	869.5210647261586
4.45242985E7	1348.846600331675
4.55028545E7	603.7974402730375
4.64814105E7	939.2660836976889
4.74599665E7	674.6671184320267
4.84385225E7	1554.1396573178904
4.94170785E7	402.06736124580897
5.03956345E7	501.33791795115013
5.13741905E7	367.6249344596563
5.23527465E7	850.2428092285801
5.33313025E7	869.1649598671464
5.43098585E7	596.5811023622048
5.52884145E7	689.7689335394127
5.62669705E7	902.3288760390315
5.72455265E7	1551.4832835263355
5.82240825E7	1813.592003815277
5.92026385E7	1081.839534223232
6.01811945E7	812.7531024137461
6.11597505E7	702.0096994141938
6.21383065E7	15964.473308581652
6.31168625E7	959.7609709662065
6.40954185E7	1193.6027906042964
6.50739745E7	17359.412144874124
6.60525305E7	4536.802259887006
6.70310865E7	5162.362841147656
6.80096425E7	929.1068594604126
6.89881985E7	528.1037783779448
6.99667545E7	1947.9172805402088
7.09453105E7	311.6989968692096
7.19238665E7	1189.4085001756234
7.29024225E7	920.4680715197957
7.38809785E7	3425.8533109194564
7.48595345E7	3756.141940804545
7.58380905E7	2682.5724655819777
7.68166465E7	1497.405071068693
7.77952025E7	1778.1772797527049
7.87737585E7	3630.689248464763
7.97523145E7	679.9863773965691
8.07308705E7	2894.8993746446845
8.17094265E7	3782.209475150952
8.26879825E7	1274.3491601343785
8.36665385E7	1588.880249009621
8.46450945E7	1892.3976506164224
8.56236505E7	3796.2531863180984
8.66022065E7	2287.1186693147965
8.75377665E7	1784.8540915199094
8.80270445E7	1435.0530612244897
8.85593185E7	1582.5903063557384
8.95378745E7	40765.9955549569
9.05164305E7	714.9727578818488
9.14949865E7	1646.344238975818
9.24735425E7	932.5863253455467
9.34520985E7	5585.543827367012
9.44306545E7	673.2216787630167
9.54092105E7	3495.3039365273116
9.63877665E7	3104.964045229323
9.73663225E7	1046.668265771168
9.83448785E7	909.7540281460331
9.93234345E7	1652.0663699690404
1.003019905E8	4402.11957247829
1.012805465E8	1441.459205951322
1.022591025E8	484.021560236998
1.032376585E8	1985.864689423615
1.042162145E8	1992.3048936715347
1.051947705E8	16826.156077141575
1.061733265E8	744.4501579778831
1.071518825E8	580.5109472989328
1.081304385E8	2336.5627247956404
1.091089945E8	647.4162733622805
1.100875505E8	346.8943780792333
1.110661065E8	611.8547353760446
1.120446625E8	913.4995330375905
