#Position (bp)	mapping quality
489278.5	4.977362226498558
1467834.5	9.061322691824005
2446390.5	13.010119952619894
3424946.5	8.853089814861304
4403502.5	7.331456661074483
5382058.5	4.425498740612656
6360614.5	11.385874205957354
7339170.5	7.851562574714442
8317726.5	6.711479472791474
9296282.5	7.204565073364326
1.02748385E7	5.796565680119042
1.12533945E7	20.292167672106217
1.22319505E7	15.668957970697278
1.32105065E7	8.62606049412485
1.41890625E7	9.705381915558203
1.51676185E7	12.416016106868202
1.61461745E7	6.949662494165668
1.71247305E7	14.304022226960194
1.81032865E7	9.529542067255239
1.90818425E7	10.406811296376958
2.00603985E7	11.415789796730317
2.10389545E7	21.704912321094948
2.20175105E7	5.753983075968887
2.29960665E7	9.034691083247216
2.39746225E7	15.030202760275115
2.49531785E7	11.354621691912836
2.59317345E7	18.856650716895324
2.69102905E7	7.992842577834446
2.78888465E7	6.995366556883989
2.88674025E7	8.910672880900949
2.98459585E7	11.846667947415522
3.08245145E7	9.420882952711576
3.18030705E7	5.352362418546294
3.27816265E7	16.273651291163063
3.37601825E7	4.578273495886977
3.47387385E7	7.074517671848093
3.57172945E7	7.063880119602338
3.66958505E7	10.321232659363986
3.76744065E7	8.551756095436225
3.86529625E7	8.796137576351072
3.96315185E7	12.124095196199244
4.06100745E7	10.77819876397165
4.15886305E7	9.384948947687827
4.25671865E7	19.802476028190046
4.35457425E7	10.763713268319416
4.45242985E7	17.31755073699255
4.55028545E7	12.862545457236324
4.64814105E7	7.7582765570260435
4.74599665E7	19.726581901174463
4.84385225E7	12.008470656765029
4.94170785E7	17.808136741751163
5.03956345E7	12.39096920338834
5.13741905E7	19.220453505554786
5.23527465E7	8.677624576342712
5.33313025E7	11.959969289155527
5.43098585E7	9.837738226456691
5.52884145E7	8.302251595744577
5.62669705E7	8.272291970743987
5.72455265E7	11.539342726326307
5.82240825E7	9.571852340329984
5.92026385E7	7.74224374886518
6.01811945E7	19.90701701766059
6.11597505E7	9.733210938668707
6.21383065E7	6.094717337686563
6.31168625E7	7.33755935978422
6.40954185E7	7.983289560409547
6.50739745E7	1.8583454131993449
6.60525305E7	17.387594210800128
6.70310865E7	7.758934851966305
6.80096425E7	4.945787458777647
6.89881985E7	15.335984019177976
6.99667545E7	9.492710738750247
7.09453105E7	36.08330130201001
7.19238665E7	6.260263048011091
7.29024225E7	10.503608991693385
7.38809785E7	10.072308887584615
7.48595345E7	8.425392271084688
7.58380905E7	11.989978971085087
7.68166465E7	12.03929561985875
7.77952025E7	8.799411285446059
7.87737585E7	8.986169750259412
7.97523145E7	7.4890004536977
8.07308705E7	7.337179376628564
8.17094265E7	7.624729344465982
8.26879825E7	8.478153451318583
8.36665385E7	6.409821011023271
8.46450945E7	7.670857089369776
8.56236505E7	17.85906676241441
8.66022065E7	5.644227075676929
8.75377665E7	5.928859792922129
8.80270445E7	4.350599531068564
8.85593185E7	6.857131344439912
8.95378745E7	11.025565772529879
9.05164305E7	17.397613183901896
9.14949865E7	9.206428079331578
9.24735425E7	15.543618269852983
9.34520985E7	9.541610141155374
9.44306545E7	12.767735325046512
9.54092105E7	9.522279876249918
9.63877665E7	7.909261724243567
9.73663225E7	8.020392282176648
9.83448785E7	10.694001545760004
9.93234345E7	7.447832113474123
1.003019905E8	9.262905575630562
1.012805465E8	15.034378562169838
1.022591025E8	10.752350699928831
1.032376585E8	6.351587964883624
1.042162145E8	9.209768507797946
1.051947705E8	7.943485395535862
1.061733265E8	14.243366823707861
1.071518825E8	7.995473956375418
1.081304385E8	13.443226857347325
1.091089945E8	10.860534257157019
1.100875505E8	14.912257939166711
1.110661065E8	12.035965891077083
1.120446625E8	9.9389431032227
1.130232185E8	10.007158479313926
1.140017745E8	17.04936645597091
1.149803305E8	10.723833983353627
1.159588865E8	10.263325299030043
