#Position (bp)	insert size
6.99667545E7	2897.2158807110327
7.09453105E7	620.1799527265881
7.19238665E7	3105.4359192607003
7.29024225E7	2167.348403152219
7.38809785E7	1611.8484654731458
7.48595345E7	3686.4717147648043
7.58380905E7	4175.9914490936035
7.68166465E7	4534.322489813496
7.77952025E7	4415.313485113836
7.87737585E7	3875.345403377111
7.97523145E7	2999.872800760818
8.07308705E7	4507.7868029739775
8.17094265E7	7728.3518642554145
8.26879825E7	3156.264163090129
8.36665385E7	3206.346777462505
8.46450945E7	5309.089547378704
8.56236505E7	2089.900405092593
8.66022065E7	5045.755539499037
8.75377665E7	3230.0729183640215
8.80270445E7	4067.6451204055766
8.85593185E7	5198.531615925059
8.95378745E7	21742.589788495217
9.05164305E7	2026.365023127645
9.14949865E7	3300.97693667631
9.24735425E7	1360.7546119592876
9.34520985E7	3277.324971117346
9.44306545E7	1367.2600847590645
9.54092105E7	7565.650098286998
9.63877665E7	4831.760822510822
9.73663225E7	2419.465734265734
9.83448785E7	3858.8650822669106
9.93234345E7	3499.7794500185805
1.003019905E8	4842.353070658155
1.012805465E8	1879.6450019912386
1.022591025E8	1499.981981981982
1.032376585E8	3647.8964691178003
1.042162145E8	3874.133107043278
1.051947705E8	4952.784990108803
1.061733265E8	1145.831095123901
1.071518825E8	2079.741753564588
1.081304385E8	1477.1377967261435
1.091089945E8	1862.634559850955
1.100875505E8	858.3589875369395
1.110661065E8	2273.555659494855
1.120446625E8	1602.388945520444
1.130232185E8	3905.7098210463223
1.140017745E8	1358.7006714060033
1.149803305E8	1542.7521797215582
1.159588865E8	3337.5064249533457
1.169374425E8	1129.7986633663365
1.179159985E8	12748.21928810817
1.188945545E8	3044.368651915391
1.198731105E8	8716.527063740858
1.208516665E8	2133.403269754768
1.218302225E8	2459.994929577465
1.228087785E8	2612.859791348262
1.237873345E8	3606.2246706042706
1.247658905E8	10011.26492567956
1.257444465E8	2515.1406618705037
1.267230025E8	4267.150115160547
1.277015585E8	1913.8920334122927
1.286801145E8	1097.0497351763338
1.296586705E8	978.5432763439093
1.306372265E8	1519.2034974350254
1.316157825E8	1528.147015565633
1.325943385E8	2196.670835639181
1.335728945E8	1782.327617424646
1.345514505E8	1519.6065005138746
1.355300065E8	4773.312781053262
1.365085625E8	2148.9353278166773
1.374871185E8	3057.9238307349665
1.384656745E8	2503.833951762523
1.394442305E8	2129.246718882303
1.404227865E8	1717.2894418698368
1.414013425E8	1961.1103508095605
1.423798985E8	3512.0032329169726
1.433584545E8	2905.457444137585
1.443370105E8	2068.450183437075
1.453155665E8	1586.6540697674418
1.462941225E8	2447.064296780857
1.472726785E8	2515.3440285204993
1.482512345E8	2560.0393212404915
