#Read position (bp)	Clipping profile
0.0	21.35618808192462
1.0	8.87927068687353
2.0	5.049826030051122
3.0	4.044234370241743
4.0	3.1853184913533372
5.0	2.4441643935025303
6.0	1.9152082779890758
7.0	1.4331462967402502
8.0	1.1124195753448622
9.0	0.8320266689128336
10.0	0.6570848208789856
11.0	0.49477766186980443
12.0	0.3666489565042731
13.0	0.2456475116141949
14.0	0.13566092382254416
15.0	0.10488411722399683
16.0	0.08690398284274023
17.0	0.06892384846148364
18.0	0.05361643675852193
19.0	0.041467697311726934
20.0	0.031181764580107168
21.0	0.021786739407919035
22.0	0.015226420106649735
23.0	0.0099619663463719
24.0	0.0053454453565898
25.0	0.0034016470451026003
26.0	0.0017008235225513002
27.0	2.4297478893590003E-4
28.0	2.4297478893590003E-4
29.0	8.099159631196667E-5
30.0	2.4297478893590003E-4
31.0	5.669411741837666E-4
32.0	3.2396638524786667E-4
33.0	4.8594957787180006E-4
34.0	8.099159631196667E-5
35.0	5.669411741837666E-4
36.0	0.0012148739446795
37.0	8.099159631196667E-4
38.0	8.909075594316333E-4
39.0	8.099159631196667E-4
40.0	0.0017008235225513002
41.0	0.0021867731004231
42.0	0.0016198319262393335
43.0	0.0019437983114872002
44.0	0.0018628067151752333
45.0	0.0028347058709188334
46.0	0.0021867731004231
47.0	0.0025917310819829334
48.0	0.0027537142746068667
49.0	0.0035636302377265333
50.0	0.0037256134303504666
51.0	0.005183462163965867
52.0	0.0055074285492137335
53.0	0.004940487375029967
54.0	0.0065603193012693005
55.0	0.007856184842260769
56.0	0.007370235264388967
57.0	0.0094760167685001
58.0	0.010933865502115501
59.0	0.0111768402910514
60.0	0.0114198150799873
61.0	0.014578487336154
62.0	0.0167652604365771
63.0	0.020490873866927568
64.0	0.023244588141534434
65.0	0.024459462086213937
66.0	0.0245404536825259
67.0	0.02753714274606867
68.0	0.034259445239961904
69.0	0.0371751427071927
70.0	0.04122472252279104
71.0	0.04195364688959873
72.0	0.04527430233838937
73.0	0.050457764502355236
74.0	0.0561271762441929
75.0	0.057261058592560435
76.0	0.06698005014999645
77.0	0.07410731062544951
78.0	0.07880482321154357
79.0	0.08560811730174876
80.0	0.0908725710620266
81.0	0.10115850379364635
82.0	0.10731386511335585
83.0	0.11978657094539871
84.0	0.12464606672411671
85.0	0.13638984818935188
86.0	0.14246421791274938
87.0	0.14481297420579642
88.0	0.15007742796607423
89.0	0.1593914615419504
90.0	0.1710542514108736
91.0	0.18449885639866007
92.0	0.20069717566105338
93.0	0.21397979745621595
94.0	0.23163596545222467
95.0	0.24791527631092997
96.0	0.23827727634980594
97.0	0.2439466880916436
98.0	0.25747228467574207
99.0	0.26565243590325066
100.0	0.2823367047435158
101.0	0.2902738811820885
102.0	0.2882490912742894
103.0	0.2995879147579647
104.0	0.3187829230839008
105.0	0.3297977801823283
106.0	0.34397130953692245
107.0	0.32963579698970435
108.0	0.34065065408813183
109.0	0.34696799860046523
110.0	0.3489117969119524
111.0	0.3509365868197516
112.0	0.3563630237726534
113.0	0.3719944018608629
114.0	0.3681877968342005
115.0	0.37304729261291847
116.0	0.3838191749224101
117.0	0.38511504046340156
118.0	0.3856009900412733
119.0	0.3851960320597135
120.0	0.39151337657204693
121.0	0.3977497294880683
122.0	0.40973648574223936
123.0	0.4152439142914531
124.0	0.4489364183572313
125.0	0.573420501888724
126.0	0.5912386530773567
127.0	0.7097293584817639
128.0	0.7982531732507434
129.0	0.8814315426631333
130.0	0.9757867523665744
131.0	1.1022956258058663
132.0	1.185959944796128
133.0	1.3713497087542197
134.0	1.6340864471902397
135.0	1.948900782054854
136.0	2.352238931688448
137.0	2.7740431652811703
138.0	3.2318076676364065
139.0	6.337025470237208
140.0	7.526954003252623
