#Insert size (bp)	insert size
386.0	4772.0
387.0	4600.0
388.0	4661.0
389.0	4662.0
390.0	4586.0
391.0	4420.0
392.0	4544.0
393.0	4436.0
394.0	4345.0
395.0	4282.0
396.0	4241.0
397.0	4182.0
398.0	4192.0
399.0	4094.0
400.0	4161.0
401.0	4019.0
402.0	4136.0
403.0	4019.0
404.0	3957.0
405.0	3928.0
406.0	3899.0
407.0	3857.0
408.0	3872.0
409.0	3843.0
410.0	3666.0
411.0	3722.0
412.0	3772.0
413.0	3791.0
414.0	3576.0
415.0	3540.0
416.0	3570.0
417.0	3575.0
418.0	3472.0
419.0	3473.0
420.0	3367.0
421.0	3251.0
422.0	3447.0
423.0	3342.0
424.0	3272.0
425.0	3241.0
426.0	3347.0
427.0	3125.0
428.0	3181.0
429.0	3185.0
430.0	2987.0
431.0	3032.0
432.0	3157.0
433.0	2917.0
434.0	3027.0
435.0	2906.0
436.0	2904.0
437.0	2901.0
438.0	2806.0
439.0	2910.0
440.0	2757.0
441.0	2786.0
442.0	2833.0
443.0	2712.0
444.0	2713.0
445.0	2738.0
446.0	2715.0
447.0	2703.0
448.0	2551.0
449.0	2561.0
450.0	2573.0
451.0	2470.0
452.0	2437.0
453.0	2341.0
454.0	2458.0
455.0	2533.0
456.0	2461.0
457.0	2428.0
458.0	2427.0
459.0	2405.0
460.0	2212.0
461.0	2404.0
462.0	2463.0
463.0	2280.0
464.0	2301.0
465.0	2332.0
466.0	2228.0
467.0	2228.0
468.0	2169.0
469.0	2110.0
470.0	2128.0
471.0	2124.0
472.0	2038.0
473.0	2177.0
474.0	2039.0
475.0	2005.0
476.0	2054.0
477.0	2022.0
478.0	1938.0
479.0	1994.0
480.0	2053.0
481.0	1927.0
482.0	1909.0
483.0	1886.0
484.0	1896.0
485.0	1941.0
486.0	1830.0
487.0	1814.0
488.0	1821.0
489.0	1872.0
490.0	1786.0
491.0	1710.0
492.0	1670.0
493.0	1674.0
494.0	1647.0
495.0	1610.0
496.0	1698.0
497.0	1683.0
498.0	1635.0
499.0	1700.0
500.0	1585.0
501.0	1497.0
502.0	1619.0
503.0	1677.0
504.0	1540.0
505.0	1412.0
506.0	1452.0
507.0	1456.0
508.0	1492.0
509.0	1439.0
510.0	1477.0
511.0	1412.0
512.0	1407.0
513.0	1444.0
514.0	1279.0
515.0	1357.0
516.0	1271.0
517.0	1286.0
518.0	1303.0
519.0	1396.0
520.0	1333.0
521.0	1213.0
522.0	1218.0
