#Position (bp)	insert size
489278.5	11504.78501246517
1467834.5	3804.905272433544
2446390.5	1961.9370068209175
3424946.5	1382.1977632296782
4403502.5	1155.690214677983
5382058.5	3973.390804597701
6360614.5	655.1301525848326
7339170.5	845.8309310479159
8317726.5	4609.373211963589
9296282.5	4077.3557033454254
1.02748385E7	872.4760550388193
1.12533945E7	526.9439046240783
1.22319505E7	653.3714285714286
1.32105065E7	828.8319238900634
1.41890625E7	617.2082059951882
1.51676185E7	2277.838276053215
1.61461745E7	1719.9644104803494
1.71247305E7	400.77236995341616
1.81032865E7	596.1539663461539
1.90818425E7	1778.0319466385818
2.00603985E7	467.99858063107325
2.10389545E7	824.8118458068277
2.20175105E7	1221.3974804926202
2.29960665E7	548.576990241397
2.39746225E7	498.64384234437034
2.49531785E7	484.93388429752065
2.59317345E7	843.1924019607843
2.69102905E7	9527.491438002888
2.78888465E7	822.6745275399774
2.88674025E7	1132.0316374519025
2.98459585E7	643.6874295377678
3.08245145E7	1233.2458208057726
3.18030705E7	798.7419334063245
3.27816265E7	720.578548212351
3.37601825E7	8169.728363240698
3.47387385E7	1885.4574489865556
3.57172945E7	7605.320358514725
3.66958505E7	5124.229514075668
3.76744065E7	1643.379852702534
3.86529625E7	8739.12566096423
3.96315185E7	3033.7705962676378
4.06100745E7	3941.600631706071
4.15886305E7	1036.0110240403772
4.25671865E7	473.9363692817222
4.35457425E7	869.9268854346575
4.45242985E7	1389.5289615225486
4.55028545E7	602.2949756888169
4.64814105E7	934.7575644378035
4.74599665E7	674.5105274129664
4.84385225E7	1539.055326888102
4.94170785E7	402.1338696255201
5.03956345E7	559.0058284762698
5.13741905E7	369.21658019005423
5.23527465E7	849.6134744555261
5.33313025E7	868.0137504614249
5.43098585E7	599.2777234058572
5.52884145E7	690.0868671292727
5.62669705E7	903.417651314203
5.72455265E7	1515.8166293393058
5.82240825E7	1812.932176405031
5.92026385E7	1079.8720634022077
6.01811945E7	812.1332879045997
6.11597505E7	704.1509180044218
6.21383065E7	15978.269984220451
6.31168625E7	960.3335875679284
6.40954185E7	1191.666096579477
6.50739745E7	17393.092946762514
6.60525305E7	4549.568744950175
6.70310865E7	5154.255748803548
6.80096425E7	928.7404337859284
6.89881985E7	529.6835311096856
6.99667545E7	1946.7498272817993
7.09453105E7	311.51944539103766
7.19238665E7	1189.827065026362
7.29024225E7	923.5509377664109
7.38809785E7	3415.4628135543494
7.48595345E7	3738.265918292234
7.58380905E7	2689.1273206221776
7.68166465E7	1493.467973211718
7.77952025E7	1816.1118644067797
7.87737585E7	3638.2665559679626
7.97523145E7	675.2898660601466
8.07308705E7	2880.001325506533
