#Read position (bp)	Clipping profile
0.0	3.568945730435847
1.0	2.9373880274729527
2.0	2.5507272367328047
3.0	2.469935074060383
4.0	2.3904042979661
5.0	2.320042259817197
6.0	2.2332986388080687
7.0	2.180299261969055
8.0	2.1246815879746745
9.0	2.079751640107915
10.0	1.7496935167298069
11.0	1.6640954007261515
12.0	1.5937012602496858
13.0	1.135304295144227
14.0	1.0766439468837707
15.0	0.9735868625875372
16.0	0.9107532117439147
17.0	0.8176791683361183
18.0	0.7614781715604133
19.0	0.7310694375224345
20.0	0.6871229170561358
21.0	0.6588110130965282
22.0	0.6252327614494204
23.0	0.5652147196281366
24.0	0.5372191410425626
25.0	0.511024424734903
26.0	0.4826772865133362
27.0	0.46025263623530965
28.0	0.4381646689048931
29.0	0.41631316262140283
30.0	0.39544273478757613
31.0	0.3762604195933941
32.0	0.3573662423636784
33.0	0.33965671931939057
34.0	0.32092383671108804
35.0	0.3024258491825135
36.0	0.2850263876434665
37.0	0.26776629718505807
38.0	0.2537524567284897
39.0	0.23924533660449268
40.0	0.22541784624450842
41.0	0.21270845646402917
42.0	0.20020185943571497
43.0	0.19028928707119627
44.0	0.1800572573982476
45.0	0.171314462530774
46.0	0.16354100135897764
47.0	0.1572223237142963
48.0	0.15112366446096012
49.0	0.14713123108918438
50.0	0.14341753987868577
51.0	0.14086344737844406
52.0	0.14018381761443124
53.0	0.1385857480886822
54.0	0.13749348596794733
55.0	0.1375561246558748
56.0	0.13874391077569903
57.0	0.14020730712240406
58.0	0.14166992048550997
59.0	0.14377692935066952
60.0	0.14711557141720252
61.0	0.15050275846687927
62.0	0.15500491416166462
63.0	0.16019609542365193
64.0	0.16461212292253702
65.0	0.16977903169295241
66.0	0.17537736442646812
67.0	0.18285407481420818
68.0	0.1882668404347388
69.0	0.19663928405984138
70.0	0.20651114127720724
71.0	0.2150981224084613
72.0	0.22372346973607093
73.0	0.23332911252974517
74.0	0.24578794755851463
75.0	0.2562133741804393
76.0	0.26679931244017807
77.0	0.2773594122411468
78.0	0.28901177416285034
79.0	0.30148391991280443
80.0	0.3117637115852978
81.0	0.3232477320331964
82.0	0.3346370114656047
83.0	0.3480800568784342
84.0	0.36182220202611726
85.0	0.37643893985398735
86.0	0.3885391683943722
87.0	0.4009948714887453
88.0	0.4179589941466965
89.0	0.4360498302037426
90.0	0.44891816565483783
91.0	0.4621458905779167
92.0	0.4790340638267559
93.0	0.49363905690063964
94.0	0.5211805049987395
95.0	0.5507600594052788
96.0	0.5689072702814597
97.0	0.5830706606054549
98.0	0.6013227912839142
99.0	0.6142287099477659
100.0	0.6285056328936296
101.0	0.6370918310412845
102.0	0.6533763239352229
103.0	0.6729313393225732
104.0	0.6862350136547641
105.0	0.7106077271273343
106.0	0.7342734064099233
107.0	0.7455883024004178
108.0	0.7473445346131837
109.0	0.7488008841074969
110.0	0.7567920147198411
111.0	0.7659450929932395
112.0	0.7793301976197362
113.0	0.7903694833833498
114.0	0.7978125254763287
115.0	0.806736189555193
116.0	0.8146184854472632
117.0	0.8231154234646216
118.0	0.8296736940906255
119.0	0.834041959589966
120.0	0.8409400450979762
121.0	0.8898115324025704
122.0	0.8801941448549098
123.0	0.8935095639410872
124.0	1.0740115560236196
125.0	1.0868900702615032
126.0	1.136952475620318
127.0	1.1167585456161078
128.0	1.1352596650790787
129.0	1.1327079215296343
130.0	1.126869995814796
131.0	1.1167796861732833
132.0	1.1136696753176853
133.0	1.124422389084031
134.0	1.1729618913426099
135.0	1.1964365226270202
136.0	1.2186983123164354
137.0	1.229786143063193
138.0	1.2418237329156503
139.0	1.5104912442232645
140.0	1.5785458297056398
