#Position (bp)	mapping quality
489278.5	16.050871352662913
1467834.5	13.381831504016327
2446390.5	46.492600161136586
3424946.5	15.07376645562332
4403502.5	28.122609726456457
5382058.5	22.02255931553347
6360614.5	46.25290515591921
7339170.5	33.980508832854134
8317726.5	26.559793134376296
9296282.5	13.512098758163914
1.02748385E7	24.96795839319492
1.12533945E7	82.72637471964633
1.22319505E7	65.84352683832127
1.32105065E7	33.741297388874635
1.41890625E7	40.48973892981137
1.51676185E7	46.52591131043752
1.61461745E7	33.0898196054024
1.71247305E7	54.08332736317295
1.81032865E7	39.53846221035034
1.90818425E7	44.485726072906424
2.00603985E7	46.14218767979326
2.10389545E7	84.6544538667791
2.20175105E7	24.244896275240862
2.29960665E7	38.50610447549079
2.39746225E7	60.79729882061762
2.49531785E7	48.90093063321818
2.59317345E7	63.915141123599945
2.69102905E7	34.879284119464934
2.78888465E7	30.435255040595756
2.88674025E7	38.051412778757836
2.98459585E7	47.58502940494947
3.08245145E7	41.57381347230228
3.18030705E7	23.45417206788147
3.27816265E7	65.69743300455391
3.37601825E7	53.308649588730766
3.47387385E7	21.685406504841882
3.57172945E7	29.09713048790812
3.66958505E7	43.16366653010312
3.76744065E7	35.94157696066007
3.86529625E7	36.767666677882865
3.96315185E7	51.62421379427174
4.06100745E7	43.487060535985854
4.15886305E7	40.51631022075861
4.25671865E7	61.44122719988966
4.35457425E7	47.21794480396699
4.45242985E7	60.872212997171815
4.55028545E7	52.74119091464225
4.64814105E7	32.284237194904065
4.74599665E7	68.34513056994074
4.84385225E7	47.97636878256713
4.94170785E7	73.9725394322676
5.03956345E7	54.03812688896468
5.13741905E7	79.76553024324689
5.23527465E7	35.870824763683345
5.33313025E7	45.183766486495166
5.43098585E7	42.08108175452372
5.52884145E7	36.57892776683312
5.62669705E7	34.95426651965292
5.72455265E7	42.86503346301951
5.82240825E7	40.8694154941073
5.92026385E7	30.227841138321086
6.01811945E7	67.91563214834285
6.11597505E7	37.295676995716285
6.21383065E7	24.709675363383713
6.31168625E7	32.222074176833736
6.40954185E7	28.439955766030224
6.50739745E7	1.6135423603067267
6.60525305E7	53.788381264161245
6.70310865E7	28.059469837548654
6.80096425E7	20.03109608265393
6.89881985E7	63.36894596123851
6.99667545E7	36.35762622128917
7.09453105E7	129.90233417708544
7.19238665E7	25.63908545460092
7.29024225E7	41.59240277372773
7.38809785E7	42.737562865261026
7.48595345E7	35.00833307762531
7.58380905E7	39.2983184209387
7.68166465E7	47.86100982805034
7.77952025E7	36.29653619309046
7.87737585E7	35.30156760333879
7.97523145E7	30.609426324775907
8.07308705E7	26.994219565863787
8.17094265E7	31.11875876847286
8.26879825E7	32.364663893199705
8.36665385E7	26.307723882977147
