#Position (bp)	insert size
1.384656745E8	2418.6288293167254
1.394442305E8	2004.524197015614
1.404227865E8	1598.1639161462979
1.414013425E8	1890.4168063524296
1.423798985E8	3542.2233849119707
1.433584545E8	2833.8450459085866
1.443370105E8	2023.8801607933358
1.453155665E8	1521.1853140357691
1.462941225E8	2390.61082284457
1.472726785E8	2702.6364415556586
1.482512345E8	2220.1860149513905
1.492297905E8	2749.5836935716284
1.502083465E8	1593.4537394144854
1.511869025E8	3656.5078620732347
1.521654585E8	2163.255170648234
1.531440145E8	3043.939287438156
1.541225705E8	2923.5075091917493
1.551011265E8	7445.69098583057
1.560796825E8	3393.734777603216
1.570582385E8	3420.2215057882195
1.580367945E8	3270.616640870232
1.590153505E8	2489.6857097694697
1.599939065E8	2120.5658990628535
1.609724625E8	5045.367350672746
1.619510185E8	6105.199823494952
1.629295745E8	2505.051729796017
1.639081305E8	2258.6507308958744
1.648866865E8	1939.6347733794566
1.658652425E8	1777.5687868643392
1.668437985E8	6920.149773065245
1.678223545E8	2774.53766798726
1.688009105E8	9001.03342941639
1.697794665E8	8910.635461406164
1.707580225E8	63060.76126537063
1.717365785E8	60761.00985779527
1.727151345E8	7698.197707515369
1.736936905E8	3572.704130739093
1.744297225E8	12063.456506788925
1.749190005E8	139400.30495195684
1.756508025E8	50907.342013778965
1.766293585E8	58871.28721655646
1.776079145E8	15589.458748902896
1.785864705E8	9093.971451140598
1.795650265E8	2940.247419511941
1.805435825E8	16284.209297620975
1.815221385E8	2982.340319864285
1.825006945E8	5634.131393043253
1.834792505E8	3542.776900746926
1.844578065E8	1479.3219956387863
1.854363625E8	49332.20865379191
1.864149185E8	2299.2308408790796
1.873934745E8	2930.6500351370346
1.883720305E8	10033.874833395988
1.893505865E8	4694.7000276366825
1.903291425E8	2314.328970128401
1.913076985E8	2502.7448183593538
1.922862545E8	1311.8198486863305
1.932648105E8	2278.0652192458624
1.942433665E8	1629.3937000717049
1.952219225E8	1831.2556733257604
1.962004785E8	2861.034470977802
1.971790345E8	1135.8253665474
1.981575905E8	1425.3927341580904
1.991361465E8	2706.1984621936936
2.001147025E8	4219.424059874527
2.010932585E8	4616.377096835684
2.020718145E8	9669.416593326783
2.030503705E8	2361.5204442697072
2.040289265E8	1184.9323757783236
2.050074825E8	11215.19952546353
2.059860385E8	5906.122139485083
2.069645945E8	1624.7274644497254
2.079431505E8	1253.2533785602757
2.089217065E8	2996.3339186420835
2.099002625E8	16376.152553877482
2.108788185E8	3611.5447161831844
2.118573745E8	2397.0691960661106
2.128359305E8	4241.871212415886
2.138144865E8	2777.92043365093
2.147930425E8	2534.3066772910697
2.157715985E8	1928.2923889240042
2.167501545E8	2646.5575270591717
2.177287105E8	3158.090759206709
2.187072665E8	1867.6290585797099
2.196858225E8	1900.947420514685
2.206643785E8	19499.4760269299
2.216429345E8	3400.5689083074335
2.226214905E8	2448.072464548233
2.236000465E8	1779.7859398962974
2.242797555E8	6097.98854171071
2.247690335E8	22085.624967102376
2.255571585E8	2264.861694854557
2.265357145E8	1259.4095509746135
2.275142705E8	118475.78199099384
2.284928265E8	3802.6681481481482
2.294713825E8	1490.9652732406198
2.304499385E8	5222.163244533362
2.314284945E8	3704.5891034654815
2.324070505E8	1643.1497929448915
2.333856065E8	2946.7072821374686
2.343641625E8	5445.001542608956
2.353427185E8	1840.9519076521078
2.363212745E8	2934.8773588262507
2.372998305E8	1211.2022046261495
2.382783865E8	2355.1127406049495
2.392569425E8	2642.89100535851
2.402354985E8	1838.9344497134953
2.412140545E8	2216.9790036078307
2.421926105E8	2084.893177310591
2.431711665E8	29915.385117246595
2.441497225E8	2043.8877615983745
2.451282785E8	1985.8343702781974
2.461068345E8	1308.4031571654791
2.470853905E8	1345.798017428488
2.480639465E8	2481.2815061796487
2.490425025E8	2307.626609865294
2.500210585E8	3284.8336540170467
2.509996145E8	1540.3101137573867
2.519781705E8	2934.5097649159998
2.529567265E8	2949.6921804142667
2.539352825E8	2588.835096358729
2.549138385E8	5415.145543852542
2.558923945E8	1978.5451992473813
2.568709505E8	3048.240725697265
2.578495065E8	2309.7033144342604
2.588280625E8	2657.6313452111117
2.598066185E8	1495.4969867403495
2.607851745E8	1265.9166588769824
2.617637305E8	3089.5841543344736
2.627422865E8	1647.698761737898
2.637208425E8	1845.4565372829418
2.646993985E8	3617.9293010528077
2.656779545E8	2417.3585835948006
2.666565105E8	4819.272176662915
2.676350665E8	11864.050855216614
2.686136225E8	2506.1115396885243
2.695921785E8	1559.1708637316563
2.70511608E8	2933.291568804867
2.71000886E8	30419.632218844985
2.715492905E8	23159.16897691093
2.725278465E8	90388.71387367092
2.735064025E8	7190.407171853856
2.744849585E8	2069.440634587305
2.754635145E8	5231.437740355067
2.764420705E8	10952.99535822219
2.774206265E8	1397.0386599615922
2.783991825E8	2741.3967113276494
2.793777385E8	1650.2536455681882
2.803562945E8	1663.3036651062127
2.813348505E8	1828.6702558341635
2.823134065E8	2875.0039811862525
2.832919625E8	1651.937431017274
2.842705185E8	2859.8702864923443
2.852490745E8	4824.796234958065
2.862276305E8	2513.8564499147697
2.872061865E8	3042.7759868725766
2.881847425E8	7156.585726936819
2.891632985E8	3376.6254808735625
2.901418545E8	2471.840655512487
2.911204105E8	1539.282260950965
2.920989665E8	2818.9770412446137
2.930775225E8	2390.193776761386
2.940560785E8	1303.0846634612114
2.950346345E8	2781.1732204047325
2.960131905E8	5393.760342308841
2.969917465E8	1996.412083089526
2.979703025E8	2446.4526961087518
2.989488585E8	2692.233712704661
2.999274145E8	1726.0557676906355
3.009059705E8	1357.016504536015
3.018845265E8	2385.9562303802145
3.028630825E8	3613.240550390642
3.038416385E8	2231.1031328919526
3.048201945E8	1933.7427273828266
3.057987505E8	2408.3200452886304
3.067773065E8	5335.890316179734
3.077558625E8	3070.0883963685815
3.087344185E8	42395.28786196061
3.097129745E8	16079.186414002754
3.106915305E8	58593.01463666461
3.116700865E8	8902.862357405374
3.126486425E8	2420.250425705563
3.136271985E8	3256.5655368473094
3.146057545E8	8770.82560456205
3.155843105E8	6780.467515364355
3.16365796E8	3685.5840727203554
3.16855074E8	35906.54559585492
3.175414225E8	17771.23309741551
3.185199785E8	4870.948631659153
3.194985345E8	2935.4643512514986
3.204770905E8	1912.56376941697
3.214556465E8	13603.156684122641
3.224342025E8	1835.474380179309
3.234127585E8	4569.671371133851
3.243913145E8	3030.6139305117163
3.253698705E8	5005.9987344117435
3.263484265E8	3600.561869665357
3.273269825E8	2906.505557119422
3.283055385E8	3035.5990804410626
3.292840945E8	3402.7039716312056
3.302626505E8	2415.908057678574
3.312412065E8	2690.0487012987014
3.322197625E8	1231.6888729781626
