#Coverage (X)	Coverage
1.0	53.47232666700064
2.0	49.528786953731554
3.0	44.59123303356425
4.0	41.53941713751126
5.0	37.71469514925495
6.0	35.33389271858948
7.0	32.41578999827003
8.0	30.547431521231402
9.0	28.295535004217925
10.0	26.80126769907845
11.0	25.053155626719885
12.0	23.836115588505436
13.0	22.449419599605747
14.0	21.437573798702815
15.0	20.31420067044371
16.0	19.46775696734983
17.0	18.556467828852888
18.0	17.844318573314126
19.0	17.094061905775646
20.0	16.48578736592532
21.0	15.860806785688453
22.0	15.345903715983312
23.0	14.817050122559948
24.0	14.373029548573527
25.0	13.920048741515743
26.0	13.536823915778626
27.0	13.15157520724452
28.0	12.819546017291671
29.0	12.487054211831222
30.0	12.19348984398988
31.0	11.903239686311494
32.0	11.643597573354413
33.0	11.387821638595824
34.0	11.158706384460999
35.0	10.934986870078347
36.0	10.729773897559355
37.0	10.532176546683104
38.0	10.347202402134116
39.0	10.166603649114933
40.0	10.001052150036045
41.0	9.839384123193312
42.0	9.688795329426114
43.0	9.543186738117143
44.0	9.407502522479476
45.0	9.276761999664956
46.0	9.150348348996786
47.0	9.028983116157647
48.0	8.913969118651792
49.0	8.802890475495104
50.0	8.694204174215713
51.0	8.591046680700543
