#Position (bp)	Coverage	Std
489278.5	1964.593990789124	501.5203333712049
1467834.5	2231.2958860035683	419.1273119439616
2446390.5	404.9787288664666	557.325633768919
3424946.5	258.6565499090581	41.11919774194967
4403502.5	142.72398141366997	72.26301763759065
5382058.5	550.7194453338044	164.47185282140256
6360614.5	530.0673087997876	816.0771616906807
7339170.5	121.99530747813738	50.843127051753875
8317726.5	137.95129043984005	52.89417945539224
9296282.5	435.4197995524194	74.25688784314387
1.02748385E7	634.9487272563035	371.4985574976166
1.12533945E7	206.3659565664941	781.5197633796722
1.22319505E7	238.68779680688945	660.458899477621
1.32105065E7	137.42802135475748	93.07576825992678
1.41890625E7	472.6713619577611	289.424111128465
1.51676185E7	307.5974357729409	624.2427794690881
1.61461745E7	174.8473926802257	207.73253455585223
1.71247305E7	508.8387598581868	884.1505500951685
1.81032865E7	245.0096478218245	193.02832584917803
1.90818425E7	138.31265581108843	142.21198566470218
2.00603985E7	206.98423635034973	170.45203305822446
2.10389545E7	598.8977371758805	1820.4515723710015
2.20175105E7	673.3497766233293	336.44427141373365
2.29960665E7	301.3102327753182	196.77293632548654
2.39746225E7	459.17982198709973	960.9447016646337
2.49531785E7	220.3223305568475	266.3292260465009
2.59317345E7	138.4467620007986	184.5342515581313
2.69102905E7	418.1973579594386	217.91042042620987
2.78888465E7	270.7059380080488	127.32908239829524
2.88674025E7	312.48641789821096	188.05395636513532
2.98459585E7	191.51001555517593	186.9425611298655
3.08245145E7	251.6970700203334	183.63936582135725
3.18030705E7	915.6078700814452	677.0195735785743
3.27816265E7	225.68248723340344	763.7811971453383
3.37601825E7	449.8445306010601	695.6694769954395
3.47387385E7	664.4966873134588	204.92159954946482
3.57172945E7	488.2340557804838	235.94018999890002
3.66958505E7	273.2090368852048	252.1292365551821
3.76744065E7	518.9445105909816	293.1137222897418
3.86529625E7	209.35896267522787	255.55951568455575
3.96315185E7	217.36144955659566	404.6774826719012
4.06100745E7	661.7901751230704	1301.878305701233
4.15886305E7	303.859271924299	135.98833020413346
4.25671865E7	479.5283669901785	1225.2453218106084
4.35457425E7	547.9273165690665	283.17970471281586
4.45242985E7	469.88426440223316	969.0496221592149
4.55028545E7	251.6048562099795	201.9377218934549
4.64814105E7	336.42141055275056	160.4381849165888
4.74599665E7	176.573317539126	374.15843702763374
4.84385225E7	302.5756706797809	242.8939838144032
4.94170785E7	876.350515978612	1395.1850862866288
5.03956345E7	229.44723590180323	197.17503651919262
5.13741905E7	279.3203964388303	816.6907419774459
5.23527465E7	299.21849222834186	161.77663725227404
5.33313025E7	340.08712387853353	399.70767095502674
5.43098585E7	384.1671207909295	439.14421484969216
5.52884145E7	125.86775811774801	85.18513700318078
5.62669705E7	288.54453939119713	147.42855283883281
5.72455265E7	288.5911483401261	222.14580144638774
5.82240825E7	367.9685458774086	244.64295868386904
5.92026385E7	343.75702827031563	141.4009369641869
6.01811945E7	249.48553030480284	868.8382381137942
6.11597505E7	298.30701903246177	165.09768766197553
6.21383065E7	389.5064084985633	501.1106014568374
6.31168625E7	417.65787287581963	210.16505776819773
6.40954185E7	391.6363177160215	161.71764869789462
6.50739745E7	36899.93836041258	6905.232353011416
6.60525305E7	275.4971110642508	345.88582541875587
6.70310865E7	374.6258021910349	126.11865368423486
6.80096425E7	221.0568361158943	103.76687651463459
6.89881985E7	688.7690227512769	1490.4545594142228
6.99667545E7	382.93772237752626	348.81140516008503
7.09453105E7	627.5448394217794	3323.030823992287
7.19238665E7	331.84451782940874	188.89455098397625
7.29024225E7	136.9144538129128	124.45968929570122
7.38809785E7	461.9859756258489	721.5783056880117
7.48595345E7	406.02376508580386	297.67011443073784
7.58380905E7	222.74271510287204	351.4835410498812
7.68166465E7	558.4525752006507	1370.3170523670894
7.77952025E7	217.66387286026486	95.18719668172616
7.87737585E7	448.64197775531727	251.74892073531495
7.97523145E7	151.10803534593103	64.487514916896
8.07308705E7	217.93028702709154	73.83856114838419
8.17094265E7	145.14427520984705	99.7314301941306
8.26879825E7	331.2166314583044	165.75938574158894
8.36665385E7	369.48463919937757	284.0277676061056
8.46450945E7	449.69468927243054	317.61194772263326
8.56236505E7	324.65226815537915	890.8125402680625
8.66022065E7	263.84098411202814	147.07340184100494
8.75377665E7	546.8396426549542	786.7084222835041
8.80270445E7	499.57025885690337	102.82534025098104
8.85593185E7	172.68884221968864	98.8063946798681
8.95378745E7	223.83560540296537	154.2107129445101
9.05164305E7	279.72091117311857	584.3510377074075
9.14949865E7	335.79731059414786	222.603438338357
9.24735425E7	342.16834254576816	405.6999692903898
9.34520985E7	203.7132969499021	107.71898230804764
9.44306545E7	135.06229383726327	173.76015968366445
9.54092105E7	174.05050939016388	63.78533766542771
9.63877665E7	257.5392565170446	126.18708963287928
9.73663225E7	468.7521230428302	212.6140037429728
9.83448785E7	268.78815356032356	691.8999306843092
9.93234345E7	198.92625199451334	87.47218793567107
1.003019905E8	121.63673120573414	62.48665879789481
1.012805465E8	270.4368335193935	536.460988636737
1.022591025E8	409.9849936245988	856.839979612413
1.032376585E8	408.08574602638896	169.61146514033658
1.042162145E8	247.05036120261718	187.14332881961639
1.051947705E8	216.851274395975	95.07824680732244
1.061733265E8	209.58029677439998	679.3885909977445
1.071518825E8	312.248291571754	189.5898904336348
1.081304385E8	401.0179754635863	693.1554278248911
1.091089945E8	279.4104585410888	337.0501401760749
1.100875505E8	258.296186689743	762.1875069603378
1.110661065E8	214.36331544265383	234.62412855366236
1.120446625E8	214.47716933755044	143.93661565264347
1.130232185E8	311.1946772804036	174.51836082145948
1.140017745E8	551.9631837645371	1110.1604246883705
1.149803305E8	927.2446923126921	1493.05749252253
1.159588865E8	477.6718626654332	915.0356615115342
1.169374425E8	343.74624747144514	1008.57784959988
1.179159985E8	450.4415142501187	464.200159355539
1.188945545E8	369.3788866315734	113.53428709657238
1.198731105E8	394.7594405863147	132.22207020738182
1.208516665E8	245.5126787350721	189.8894494827588
1.218302225E8	383.43711365523154	860.0810517988917
1.228087785E8	392.61017350858657	335.4336947095371
1.237873345E8	662.8685786798196	327.0826453902681
1.247658905E8	641.1852290549101	192.53998386218348
1.257444465E8	519.3017532424271	617.4084407522121
1.267230025E8	404.9901478430522	244.47755047338632
1.277015585E8	242.43323727873135	135.12194436932347
1.286801145E8	449.51429402704787	954.594839768778
1.296586705E8	414.14790120696046	1318.5904356090437
1.306372265E8	670.5513629432919	1167.9917534995675
1.316157825E8	327.5062230881666	674.0996096545705
1.325943385E8	213.55934747782223	143.3851376426804
1.335728945E8	226.64280950433067	163.2229209796655
1.345514505E8	324.9776284029669	643.0814070655883
1.355300065E8	500.86122333434434	168.822968702321
1.365085625E8	325.55153778937853	153.30983921597593
1.374871185E8	372.15984051940734	190.32150693923603
1.384656745E8	222.19041818999779	99.65019372192651
1.394442305E8	196.44694730496357	198.33243156924837
1.404227865E8	238.47919211952694	205.73911517962105
1.414013425E8	290.37274363888264	318.3533253860171
1.423798985E8	587.5076595509346	309.66004837759533
1.433584545E8	323.6459243809765	182.39192821254656
1.443370105E8	579.3358175685222	803.3319667772839
1.453155665E8	152.98888158586135	129.88768032387136
1.462941225E8	431.930023690676	341.5426369959848
1.472726785E8	330.4118619714033	246.9902190495754
1.482512345E8	218.56019727411493	176.03613824985774
1.492297905E8	417.3372498320337	576.9917895796228
1.502083465E8	226.09861083936607	270.6624231148642
1.511869025E8	222.28273626643727	158.59057144022066
1.521654585E8	359.49916296943115	718.8011841626524
1.531440145E8	257.58775217287297	197.2677498753434
1.541225705E8	236.9307017491098	162.30303049352185
1.551011265E8	590.3255046409716	212.17398018241565
1.560796825E8	728.9065613376877	654.8651236352555
1.570582385E8	364.22350661617367	237.1811047848404
1.580367945E8	317.8214410213544	166.06655818641383
1.590153505E8	324.62377162032794	331.09207396149185
1.599939065E8	149.7854500765922	215.9923747127425
1.609724625E8	752.2429527475252	928.6207540146003
1.619510185E8	452.0531034860282	248.79723584787575
1.629295745E8	259.8290468431174	131.47609118774466
1.639081305E8	271.4180516366553	221.93192313705293
1.648866865E8	304.6576800288955	1494.3820336864665
1.658652425E8	333.4615021416476	398.02110944730316
1.668437985E8	4052.042834087663	1741.0716508778173
1.678223545E8	165.1216614564055	204.87606022656004
1.688009105E8	167.50634653344457	105.6053965152118
1.697794665E8	320.2963239180018	201.76757633175833
1.707580225E8	378.2538537499791	150.40501670526342
1.717365785E8	2603.276762765593	1111.5152242056959
1.727151345E8	674.8433442743682	323.8776103466238
1.736936905E8	427.2663107321106	289.13154087328996
1.744297225E8	1236.727712615362	888.1728088941651
1.749190005E8	2401.287162965964	588.0811443137945
1.756508025E8	12508.1145652402	1169.6601012580857
1.766293585E8	5401.479486397313	1546.487323945381
1.776079145E8	182.10690739594455	70.02990849099669
1.785864705E8	442.5990955631123	221.9657618048914
1.795650265E8	295.1854996217493	1339.2160768415595
1.805435825E8	856.0212228838711	245.55534082450149
1.815221385E8	271.83764174493916	158.6977289695666
1.825006945E8	320.690978492027	273.0773770110643
1.834792505E8	454.8336733991604	167.55525152331347
1.844578065E8	221.04330612876828	305.33437066884454
1.854363625E8	363.5945271205945	23.97620119514551
1.864149185E8	326.6656564949302	309.8582966896379
