"","Geneid","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04","total_counts"
"874","Smp_012150",6,0,2,1,2,0,1,5,17
"875","Smp_128690",3,2,2,0,3,4,2,2,18
"876","Smp_128360",2,2,2,4,0,0,0,2,12
"877","Smp_128370",4,0,6,2,4,0,0,2,18
"878","Smp_011570",12,2,8,16,14,22,0,22,96
"879","Smp_190020",6,0,2,4,0,0,0,2,14
"880","Smp_213240",4,2,0,5,4,2,0,2,19
"881","Smp_214240",7,0,1,1,1,0,0,0,10
"882","Smp_128390",9,3,4,5,3,0,2,7,33
"883","Smp_011660",2,0,0,2,2,4,0,2,12
"884","Smp_011710",0,0,0,8,0,8,0,0,16
"885","Smp_179460",2,0,0,4,0,8,0,0,14
"886","Smp_128420",2,0,0,4,2,0,0,2,10
"887","Smp_011860",8,3,0,0,6,0,0,4,21
"888","Smp_347640",4,0,2,4,2,0,0,6,18
"889","Smp_059920",0,0,2,2,0,0,4,2,10
"890","Smp_021370",4,0,2,6,4,10,0,12,38
"891","Smp_133790",6,2,0,6,0,0,0,2,16
"892","Smp_021460",4,2,4,0,4,2,0,4,20
"893","Smp_021730",8,2,2,10,4,18,0,4,48
"894","Smp_347330",0,0,0,2,0,2,0,6,10
"895","Smp_103920",4,0,2,5,2,3,0,2,18
"896","Smp_103930",6,0,2,2,0,13,0,6,29
"897","Smp_103470",8,0,0,4,2,12,0,6,32
"898","Smp_103460",8,2,2,2,6,2,0,6,28
"899","Smp_302920",8,2,6,0,1,1,1,4,23
"900","Smp_322900",9,0,0,1,2,0,1,6,19
"901","Smp_059350",4,0,2,2,6,4,0,4,22
"902","Smp_059340",6,0,0,6,0,8,2,5,27
"903","Smp_154000",3,0,2,3,2,2,0,2,14
"904","Smp_333030",2,2,1,0,4,0,0,2,11
"905","Smp_059240",2,2,1,0,6,4,0,0,15
"906","Smp_079050",0,2,2,2,0,4,0,0,10
"907","Smp_345560",2,4,0,4,0,2,0,4,16
"908","Smp_333040",43,22,23,22,11,26,5,20,172
"909","Smp_345570",28,12,25,23,12,18,1,12,131
"910","Smp_091840",2,0,6,0,2,6,0,4,20
"911","Smp_201220",6,0,1,3,3,6,0,2,21
"912","Smp_305120",1,1,3,6,0,0,0,2,13
"913","Smp_165840",2,0,4,4,0,0,0,0,10
"914","Smp_080980",10,4,8,8,8,22,0,18,78
"915","Smp_244710",0,0,2,2,2,2,0,3,11
"916","Smp_165780",6,4,2,0,4,4,0,10,30
"917","Smp_080920",14,2,6,13,14,48,0,24,121
"918","Smp_322950",4,0,0,4,2,2,0,0,12
"919","Smp_093740",5,0,0,4,0,0,0,1,10
"920","Smp_068300",0,0,0,2,0,6,0,2,10
"921","Smp_068270",0,2,0,0,2,6,0,3,13
"922","Smp_068250",0,0,2,0,2,2,0,4,10
"923","Smp_159100",2,0,2,2,0,2,0,2,10
"924","Smp_068220",2,2,0,0,8,4,0,2,18
"925","Smp_322970",11,2,0,6,0,2,0,8,29
"926","Smp_159090",38,16,16,24,15,36,0,43,188
"927","Smp_204160",2,0,2,0,2,0,0,4,10
"928","Smp_341330",0,0,4,10,2,2,0,2,20
"929","Smp_165230",0,0,0,12,0,0,0,0,12
"930","Smp_079970",0,0,2,7,0,4,0,0,13
"931","Smp_079960",6,0,0,7,3,7,0,6,29
"932","Smp_079950",2,2,0,2,0,8,0,0,14
"933","Smp_079910",0,0,2,0,4,2,0,7,15
"934","Smp_079920",10,0,0,8,4,8,0,6,36
"935","Smp_132870",4,0,0,2,0,4,0,4,14
"936","Smp_179720",0,0,2,4,2,2,0,2,12
"937","Smp_094760",0,0,2,8,2,2,2,4,20
"938","Smp_094810",2,2,0,6,2,5,2,0,19
"939","Smp_305220",8,2,0,0,0,2,0,0,12
"940","Smp_173900",4,0,0,0,2,4,2,4,16
"941","Smp_173910",2,0,0,2,0,6,0,0,10
"942","Smp_094480",2,0,2,4,0,4,0,0,12
"943","Smp_180000",22,8,7,28,9,23,2,13,112
"944","Smp_350050",25,9,9,31,9,19,2,17,121
"945","Smp_193440",2,0,4,4,0,2,0,0,12
"946","Smp_103100",2,0,5,2,0,0,0,2,11
"947","Smp_179610",3,0,0,0,10,4,0,12,29
"948","Smp_080420",2,2,2,6,0,0,0,6,18
"949","Smp_165460",4,0,2,2,2,6,0,2,18
"950","Smp_080370",8,2,4,6,4,6,0,11,41
"951","Smp_178750",5,5,5,4,1,5,0,5,30
"952","Smp_164410",5,3,0,6,2,2,0,2,20
"953","Smp_078320",6,4,4,6,6,16,0,6,48
"954","Smp_038510",19,6,4,12,10,16,0,26,93
"955","Smp_038560",7,0,2,2,2,14,0,10,37
"956","Smp_155390",7,0,0,2,0,1,0,3,13
"957","Smp_316570",50,11,9,16,5,10,3,13,117
"958","Smp_061840",4,1,0,2,0,2,0,1,10
