#Position (bp)	insert size
1.237873345E8	3591.8608403169715
1.247658905E8	9918.727690288713
1.257444465E8	2558.105275282193
1.267230025E8	4284.335648148148
1.277015585E8	1879.9730168644596
1.286801145E8	1111.3284866213542
1.296586705E8	990.5689584360111
1.306372265E8	1511.963139120095
1.316157825E8	1525.0202768929184
1.325943385E8	2191.9494860174646
1.335728945E8	1781.651405451448
1.345514505E8	1514.865670684791
1.355300065E8	4699.3916357436565
1.365085625E8	2188.1739795918365
1.374871185E8	3065.505209883894
1.384656745E8	2494.090573012939
1.394442305E8	2109.556919170546
1.404227865E8	1703.1846774193548
1.414013425E8	1943.0365005793742
1.423798985E8	3483.538914226865
1.433584545E8	2848.140359703182
1.443370105E8	2071.861772841749
1.453155665E8	1582.441976584022
1.462941225E8	2468.3718489202442
1.472726785E8	2519.357583669594
1.482512345E8	2560.9963615023476
1.492297905E8	2809.5969977734685
1.502083465E8	1572.3637467944393
1.511869025E8	3250.7629250116443
1.521654585E8	2337.0015625
1.531440145E8	3062.77101002313
1.541225705E8	2872.5165957446807
1.551011265E8	7053.420241004466
1.560796825E8	3371.8489162498395
1.570582385E8	3156.2454196379595
1.580367945E8	3093.080570098895
1.590153505E8	2230.3884165333784
1.599939065E8	2180.3542359866906
1.609724625E8	4982.411641443539
1.619510185E8	5798.42922028766
1.629295745E8	2469.1386924271173
1.639081305E8	2238.352335164835
1.648866865E8	1958.1842769015711
1.658652425E8	1858.9113262640233
1.668437985E8	7039.793977444483
1.678223545E8	2678.2708365910867
1.688009105E8	6575.760068715404
1.697794665E8	8420.601317170946
1.707580225E8	50993.58980774295
1.717365785E8	58096.992510302814
1.727151345E8	8777.231533114353
1.736936905E8	3351.8500774056874
1.744297225E8	12234.85606060606
1.749190005E8	133092.0390194535
1.756508025E8	44884.15006579149
1.766293585E8	58091.423904052936
1.776079145E8	13824.17685088634
1.785864705E8	9018.511971268954
1.795650265E8	2802.2712778652917
1.805435825E8	15948.896396845992
1.815221385E8	2909.374038222884
1.825006945E8	5660.585525014831
1.834792505E8	3525.616861162613
1.844578065E8	1355.045399315144
1.854363625E8	48338.88782816229
1.864149185E8	2332.704330994435
1.873934745E8	2586.7016796189523
1.883720305E8	9675.63220138537
1.893505865E8	4390.051240612225
1.903291425E8	2028.2793382230373
1.913076985E8	2354.6958762886597
1.922862545E8	1287.1418628824513
1.932648105E8	2253.484413159029
1.942433665E8	1789.4507990752838
1.952219225E8	1756.7359170024865
1.962004785E8	2738.7603662294214
1.971790345E8	1400.9335453632407
1.981575905E8	1332.9437782583054
1.991361465E8	2597.632852096452
2.001147025E8	4459.793894830659
2.010932585E8	3085.040862290862
2.020718145E8	9148.729367927132
2.030503705E8	2426.1351497459186
2.040289265E8	1129.7552101730837
2.050074825E8	12259.813152147537
2.059860385E8	6625.946879535559
2.069645945E8	1775.6466327631376
2.079431505E8	1115.5313342318059
2.089217065E8	2435.4794094794097
2.099002625E8	16981.94414722876
2.108788185E8	4015.013349038084
2.118573745E8	2289.5774735964424
2.128359305E8	4441.151124144672
2.138144865E8	2688.0293655589126
2.147930425E8	2607.6376940133036
2.157715985E8	1546.3326622374336
2.167501545E8	2800.4775713638423
2.177287105E8	3253.892670571474
2.187072665E8	1933.9184579675043
2.196858225E8	1602.8945647731916
2.206643785E8	18185.260470588237
2.216429345E8	3280.9744536326048
2.226214905E8	2542.8659356207995
2.236000465E8	1822.6457628668068
2.242797555E8	5964.7417952619
2.247690335E8	26948.242215302493
2.255571585E8	2233.1217938110212
2.265357145E8	1323.3876662444586
2.275142705E8	122732.96518245731
2.284928265E8	3772.868593955322
2.294713825E8	1495.710919641287
2.304499385E8	4767.819563318777
2.314284945E8	3817.6615384615384
2.324070505E8	1663.472145040289
2.333856065E8	2848.0580454848227
2.343641625E8	5225.209812585707
2.353427185E8	1733.126823607427
2.363212745E8	3142.2790307101727
2.372998305E8	1089.9734367774752
2.382783865E8	2148.7206692079626
2.392569425E8	2326.9461334678945
2.402354985E8	1809.8100177080698
2.412140545E8	2544.870726179919
2.421926105E8	2115.6489517959676
2.431711665E8	29594.166447492014
2.441497225E8	2341.7585787624967
2.451282785E8	1977.2333033505734
2.461068345E8	1331.3690079893474
2.470853905E8	1263.6859397648575
2.480639465E8	2401.8674759736973
2.490425025E8	2401.9804391217563
2.500210585E8	3267.2758834951455
2.509996145E8	1502.9377435604981
2.519781705E8	2504.384324009324
2.529567265E8	2989.8261852562346
2.539352825E8	2527.7149398969664
2.549138385E8	5848.975898854208
2.558923945E8	2021.1484287317621
2.568709505E8	2946.6050698545296
2.578495065E8	2409.9115565159077
2.588280625E8	2639.515580736544
2.598066185E8	1427.7213592869314
2.607851745E8	1250.2225951419307
2.617637305E8	2751.609511162752
2.627422865E8	1699.504633781764
2.637208425E8	1968.910140562249
2.646993985E8	3035.792512026773
2.656779545E8	2111.0587487283824
2.666565105E8	4029.033396687483
2.676350665E8	11124.761122661122
2.686136225E8	2655.3396699797354
2.695921785E8	1460.4752170842162
2.70511608E8	2936.3771414821945
2.71000886E8	22928.636363636364
2.715492905E8	21758.278840646122
2.725278465E8	88961.58903872753
2.735064025E8	8157.283974286681
2.744849585E8	1778.145536816125
2.754635145E8	5965.876104630612
2.764420705E8	11235.926425448795
2.774206265E8	1374.7910760309278
2.783991825E8	2731.7623197115386
2.793777385E8	1452.9872254594352
2.803562945E8	1599.7893873726134
2.813348505E8	1791.988620353311
2.823134065E8	3147.5740674955596
2.832919625E8	1610.8421895006402
2.842705185E8	2660.9297928541637
2.852490745E8	4254.372364629152
2.862276305E8	2589.2137820116295
2.872061865E8	2882.984713875098
2.881847425E8	7128.337062256809
2.891632985E8	3457.0762728523687
2.901418545E8	2084.41336957616
2.911204105E8	1379.6275296872386
2.920989665E8	2665.4027875545544
2.930775225E8	2522.752128356254
2.940560785E8	1245.2713162393163
2.950346345E8	3249.62416538264
2.960131905E8	5102.107305550869
2.969917465E8	1893.5325077399382
2.979703025E8	2194.0761904761903
2.989488585E8	2916.1719982785826
2.999274145E8	1612.1839817585862
3.009059705E8	1325.0765443862156
3.018845265E8	2502.9191114836544
3.028630825E8	3425.6285496681535
3.038416385E8	2107.9446844085273
3.048201945E8	1863.4451764705882
3.057987505E8	2286.0209339774556
3.067773065E8	5614.043495145631
3.077558625E8	2808.4543586023456
3.087344185E8	12403.949369162707
3.097129745E8	18315.94997680115
3.106915305E8	48792.51432906079
3.116700865E8	8128.1294330518695
3.126486425E8	2219.429396857577
3.136271985E8	3334.0047455295735
3.146057545E8	7334.341239339142
3.155843105E8	6370.512276487857
3.16365796E8	3086.819268922408
3.16855074E8	34487.52247873633
3.175414225E8	14441.299502167978
3.185199785E8	4873.457173107464
