"","Geneid","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04","total_counts"
"3861","Smp_061540",6,0,4,0,0,2,0,0,12
"3862","Smp_330670",8,0,4,10,0,6,1,6,35
"3863","Smp_330700",0,0,1,0,2,2,0,6,11
"3864","Smp_344710",5,0,2,0,2,0,0,6,15
"3865","Smp_349260",2,0,4,9,2,5,0,7,29
"3866","Smp_349270",2,0,4,4,1,4,1,7,23
"3867","Smp_349280",2,0,2,4,3,4,1,6,22
"3868","Smp_349300",2,0,4,4,3,5,1,8,27
"3869","Smp_349320",6,0,1,1,0,1,1,8,18
"3870","Smp_330730",3,0,2,1,3,1,1,5,16
"3871","Smp_210150",3,0,4,4,2,2,0,2,17
"3872","Smp_040130",36,8,32,44,36,52,6,44,258
"3873","Smp_144030",2,0,2,14,0,0,0,4,22
"3874","Smp_040100",8,0,2,13,12,23,0,4,62
"3875","Smp_040080",17,0,4,4,4,10,0,3,42
"3876","Smp_144010",7,1,0,2,1,1,0,0,12
"3877","Smp_349360",4,0,2,11,4,2,0,1,24
"3878","Smp_330790",6,0,2,7,15,16,1,1,48
"3879","Smp_143690",0,2,0,4,4,0,0,6,16
"3880","Smp_192400",0,0,0,4,0,0,2,5,11
"3881","Smp_343640",8,0,6,4,4,0,0,8,30
"3882","Smp_039490",10,2,6,6,4,2,0,2,32
"3883","Smp_143630",8,6,3,13,5,8,2,7,52
"3884","Smp_169340",4,0,2,2,8,4,0,0,20
"3885","Smp_169300",8,4,0,2,2,0,2,3,21
"3886","Smp_169290",0,2,0,12,2,6,2,9,33
"3887","Smp_336250",16,4,8,20,16,22,4,8,98
"3888","Smp_169280",8,1,7,10,3,2,1,3,35
"3889","Smp_103380",2,0,0,2,0,4,0,2,10
"3890","Smp_332140",2,0,0,2,2,0,1,5,12
"3891","Smp_212490",9,5,1,6,1,0,0,3,25
"3892","Smp_133450",0,0,2,2,0,2,0,4,10
"3893","Smp_342780",2,0,0,4,2,2,0,3,13
"3894","Smp_133470",0,0,2,2,4,0,0,5,13
"3895","Smp_020760",5,0,2,2,2,0,0,4,15
"3896","Smp_020770",6,0,4,2,0,2,4,2,20
"3897","Smp_133400",4,0,2,6,4,0,0,4,20
"3898","Smp_349380",1,0,1,0,6,0,0,6,14
"3899","Smp_133350",42,11,26,40,9,16,2,38,184
"3900","Smp_020590",222,14,96,188,92,64,40,152,868
"3901","Smp_133340",16,2,20,9,8,28,1,16,100
"3902","Smp_133330",6,0,0,2,0,4,0,6,18
"3903","Smp_242740",4,0,2,0,4,6,0,4,20
"3904","Smp_315000",4,0,2,4,0,0,0,0,10
"3905","Smp_166200",12,0,0,8,4,2,0,2,28
"3906","Smp_266850",0,0,0,2,0,4,0,8,14
"3907","Smp_081820",0,0,0,0,0,2,4,6,12
"3908","Smp_170200",2,0,0,4,2,2,0,2,12
"3909","Smp_315010",2,0,0,2,4,0,0,4,12
"3910","Smp_348060",2,1,2,9,9,13,0,3,39
"3911","Smp_334830",2,0,4,8,2,0,1,0,17
"3912","Smp_349080",0,0,12,16,18,10,4,16,76
"3913","Smp_316790",5,0,0,6,8,7,0,4,30
"3914","Smp_349090",4,2,1,2,0,2,0,0,11
"3915","Smp_181270",4,0,2,2,2,0,2,6,18
"3916","Smp_341770",4,0,3,5,2,3,0,2,19
"3917","Smp_015090",20,4,20,14,10,6,2,14,90
"3918","Smp_130340",4,0,2,6,3,2,2,7,26
"3919","Smp_130330",2,2,4,2,0,0,2,0,12
"3920","Smp_015050",2,0,6,10,4,2,2,10,36
"3921","Smp_130300",14,0,2,10,5,2,0,2,35
"3922","Smp_130280",4,0,2,2,2,2,0,4,16
"3923","Smp_130260",88,24,20,40,11,28,7,13,231
"3924","Smp_198360",2,2,10,2,2,8,2,2,30
"3925","Smp_318000",9,0,0,2,0,0,0,9,20
"3926","Smp_130230",8,1,5,14,8,9,2,6,53
"3927","Smp_062300",9,9,3,8,5,22,0,7,63
"3928","Smp_300560",3,0,5,3,0,0,0,1,12
"3929","Smp_300570",14,2,5,14,21,9,1,14,80
"3930","Smp_300580",4,0,0,2,4,2,0,2,14
"3931","Smp_175610",2,2,0,4,2,0,0,4,14
"3932","Smp_097320",34,5,7,22,13,9,3,6,99
"3933","Smp_214200",2,2,4,4,0,2,0,4,18
"3934","Smp_175640",4,0,3,6,4,2,6,9,34
"3935","Smp_207020",12,0,2,6,8,4,4,6,42
"3936","Smp_097370",2,2,2,0,6,1,0,6,19
"3937","Smp_097380",18,2,2,6,8,18,0,16,70
"3938","Smp_175660",0,2,6,6,6,0,6,4,30
"3939","Smp_180400",7,0,4,4,12,7,2,2,38
"3940","Smp_010290",4,0,10,6,2,0,0,2,24
"3941","Smp_127620",8,0,4,7,4,0,0,8,31
"3942","Smp_010380",4,1,2,1,0,4,0,1,13
"3943","Smp_127650",0,2,6,2,0,0,0,3,13
"3944","Smp_010400",2,2,0,3,4,4,0,0,15
"3945","Smp_127680",4,0,0,0,2,4,0,2,12
"3946","Smp_342330",10,0,6,14,10,2,2,14,58
"3947","Smp_318110",3,0,2,0,0,2,0,4,11
"3948","Smp_214090",0,0,2,4,2,0,0,6,14
"3949","Smp_214080",4,0,7,10,0,2,0,4,27
"3950","Smp_010620",6,0,0,10,2,2,0,4,24
"3951","Smp_127810",19,3,13,8,5,2,3,1,54
"3952","Smp_010690",0,0,4,8,4,2,0,0,18
"3953","Smp_010710",2,0,0,4,2,2,2,6,18
"3954","Smp_300770",4,0,0,3,1,0,0,8,16
"3955","Smp_318150",8,0,0,1,1,0,0,0,10
"3956","Smp_127890",4,2,2,4,3,2,4,6,27
