"","Geneid","n"
"266","Smp_026790",2
"267","Smp_026830",3
"268","Smp_027010",1
"269","Smp_027040",1
"270","Smp_027210",1
"271","Smp_027220",3
"272","Smp_027240",1
"273","Smp_027300",1
"274","Smp_027340",3
"275","Smp_027370",2
"276","Smp_027430",2
"277","Smp_027450",1
"278","Smp_027480",3
"279","Smp_027850",2
"280","Smp_027870",1
"281","Smp_027880",3
"282","Smp_028050",1
"283","Smp_028070",3
"284","Smp_028120",2
"285","Smp_028140",1
"286","Smp_028360",1
"287","Smp_028670",2
"288","Smp_028690",2
"289","Smp_028800",3
"290","Smp_028930",2
"291","Smp_028940",1
"292","Smp_028990",3
"293","Smp_029040",1
"294","Smp_029100",2
"295","Smp_029160",2
"296","Smp_029210",3
"297","Smp_029360",3
"298","Smp_029370",2
"299","Smp_029390",1
"300","Smp_029470",3
"301","Smp_029740",3
"302","Smp_029750",1
"303","Smp_029940",1
"304","Smp_029970",1
"305","Smp_029990",3
"306","Smp_030000",2
"307","Smp_030110",3
"308","Smp_030150",1
"309","Smp_030180",3
"310","Smp_030220",3
"311","Smp_030250",2
"312","Smp_030440",1
"313","Smp_030860",2
"314","Smp_030870",1
"315","Smp_030910",1
"316","Smp_030930",2
"317","Smp_031000",3
"318","Smp_031010",2
"319","Smp_031020",2
"320","Smp_031070",2
"321","Smp_031100",1
"322","Smp_031270",2
"323","Smp_031560",1
"324","Smp_031590",2
"325","Smp_031710",2
"326","Smp_031990",1
"327","Smp_032000",3
"328","Smp_032060",3
"329","Smp_032150",2
"330","Smp_032420",3
"331","Smp_032500",3
"332","Smp_032640",2
"333","Smp_032780",3
"334","Smp_032820",2
"335","Smp_032920",3
"336","Smp_032950",1
"337","Smp_033000",1
"338","Smp_033040",2
"339","Smp_033110",1
"340","Smp_033260",3
"341","Smp_033350",1
"342","Smp_033380",1
"343","Smp_033620",3
"344","Smp_033680",3
"345","Smp_033870",1
"346","Smp_033930",3
"347","Smp_033970",2
"348","Smp_033990",2
"349","Smp_034090",3
"350","Smp_034100",1
"351","Smp_034270",3
"352","Smp_034300",3
"353","Smp_034400",2
"354","Smp_034410",3
"355","Smp_034430",2
"356","Smp_034450",3
"357","Smp_034500",1
"358","Smp_034550",2
"359","Smp_034660",1
"360","Smp_034680",2
"361","Smp_034870",3
"362","Smp_034920",1
"363","Smp_035010",3
"364","Smp_035020",3
"365","Smp_035080",1
"366","Smp_035110",2
"367","Smp_035150",3
"368","Smp_035220",3
"369","Smp_035270",3
"370","Smp_035300",2
"371","Smp_035360",2
"372","Smp_035370",1
"373","Smp_035390",1
"374","Smp_035460",3
"375","Smp_035500",2
"376","Smp_035620",3
"377","Smp_035650",2
"378","Smp_035730",2
"379","Smp_036250",2
"380","Smp_036500",3
"381","Smp_036550",2
"382","Smp_036590",2
"383","Smp_036670",2
"384","Smp_036780",2
"385","Smp_036940",3
"386","Smp_036950",2
"387","Smp_036980",3
"388","Smp_037120",2
"389","Smp_037460",3
"390","Smp_037780",2
"391","Smp_037900",1
"392","Smp_037910",1
"393","Smp_037930",3
"394","Smp_037960",2
"395","Smp_038030",3
"396","Smp_038140",3
"397","Smp_038300",3
"398","Smp_038330",2
"399","Smp_038410",1
"400","Smp_038440",2
"401","Smp_038530",3
"402","Smp_038540",2
"403","Smp_038630",3
"404","Smp_038680",1
"405","Smp_038820",1
"406","Smp_038840",2
"407","Smp_038940",2
"408","Smp_038965",2
"409","Smp_039130",2
"410","Smp_039590",2
"411","Smp_039740",2
"412","Smp_039750",3
"413","Smp_039970",1
"414","Smp_039980",3
"415","Smp_040020",1
"416","Smp_040360",3
"417","Smp_040560",3
"418","Smp_040610",2
"419","Smp_040720",1
"420","Smp_041060",3
"421","Smp_041100",3
"422","Smp_041190",3
"423","Smp_041320",2
"424","Smp_041370",2
"425","Smp_041390",3
"426","Smp_041430",2
"427","Smp_041490",1
"428","Smp_041700",1
"429","Smp_042020",3
"430","Smp_042030",2
"431","Smp_042050",1
"432","Smp_042060",3
"433","Smp_042150",1
"434","Smp_042210",2
"435","Smp_042340",2
"436","Smp_042400",2
"437","Smp_042430",1
"438","Smp_042530",1
"439","Smp_042550",1
"440","Smp_042560",3
"441","Smp_042590",3
"442","Smp_042630",2
"443","Smp_042700",2
"444","Smp_042780",2
"445","Smp_042790",2
"446","Smp_042810",2
"447","Smp_042910",2
"448","Smp_043110",3
"449","Smp_043120",3
"450","Smp_043130",3
"451","Smp_043320",1
"452","Smp_043340",1
"453","Smp_043350",1
"454","Smp_043360",1
"455","Smp_043500",2
"456","Smp_043610",3
"457","Smp_043650",1
"458","Smp_043910",1
"459","Smp_043940",1
"460","Smp_043990",3
"461","Smp_044060",2
"462","Smp_044160",2
"463","Smp_044260",2
"464","Smp_044470",1
"465","Smp_044520",1
"466","Smp_044560",2
"467","Smp_044690",3
"468","Smp_044750",2
"469","Smp_044800",1
"470","Smp_045360",1
"471","Smp_045430",2
"472","Smp_045490",3
"473","Smp_045510",3
"474","Smp_045550",1
"475","Smp_045560",2
"476","Smp_045600",2
"477","Smp_045620",3
"478","Smp_045710",2
"479","Smp_045760",1
"480","Smp_045780",1
"481","Smp_045790",3
"482","Smp_045810",3
"483","Smp_045860",1
"484","Smp_045930",1
"485","Smp_045990",2
"486","Smp_046120",2
"487","Smp_046190",1
"488","Smp_046360",2
"489","Smp_046680",1
"490","Smp_046740",3
"491","Smp_046800",2
"492","Smp_046810",2
"493","Smp_046890",2
"494","Smp_046910",1
"495","Smp_046980",1
"496","Smp_047090",1
"497","Smp_047110",2
"498","Smp_047240",2
"499","Smp_047330",2
"500","Smp_047400",1
"501","Smp_047440",3
"502","Smp_047500",2
"503","Smp_047540",1
"504","Smp_047620",1
"505","Smp_047650",2
"506","Smp_047680",1
"507","Smp_047720",2
"508","Smp_047740",3
"509","Smp_047870",1
"510","Smp_048520",1
"511","Smp_048540",2
"512","Smp_048550",1
"513","Smp_048620",3
"514","Smp_048930",3
"515","Smp_048940",2
"516","Smp_048970",2
"517","Smp_048990",3
"518","Smp_049000",3
"519","Smp_049010",2
"520","Smp_049140",3
"521","Smp_049150",2
"522","Smp_049160",3
"523","Smp_049390",3
"524","Smp_049740",2
"525","Smp_049880",2
"526","Smp_049920",3
