"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_003410",3.57402298831741,1.2081293206545,3.24341273453535,3.04764138186029,2.9425531771256,3.97654106947853,3.18671566246399,1.2081293206545
"Smp_003600",1.2081293206545,1.2081293206545,2.09560854151128,2.37998626700311,2.46922023607784,2.38931531450932,1.2081293206545,2.27396689568483
"Smp_003630",2.12597357661805,1.2081293206545,1.2081293206545,2.17336430922593,2.46922023607784,2.38931531450932,3.18671566246399,2.6846724602887
"Smp_003660",3.14622159481781,3.13357922150312,3.9158559431338,3.14527058817959,4.64933480452987,3.41537650121166,3.84714693995738,3.22126508560877
"Smp_003700",2.75034284411606,1.2081293206545,2.44487903255873,2.17336430922593,1.2081293206545,3.41537650121166,1.2081293206545,2.6846724602887
"Smp_003710",3.3775851857777,1.2081293206545,3.72678582667194,2.82531425764473,1.2081293206545,3.97654106947853,1.2081293206545,2.8430538532569
"Smp_003770",2.48597626056559,4.2191570256613,3.50701332349954,2.82531425764473,3.42012437897073,3.62939506912507,1.2081293206545,2.98251429468298
"Smp_003930",2.86225952993763,1.2081293206545,2.9106768950148,3.14527058817959,2.9425531771256,3.15944864792049,1.2081293206545,2.98251429468298
"Smp_003970",3.44635978429552,3.13357922150312,3.38184931298458,2.69609176933201,3.27993694012844,3.81396672289621,1.2081293206545,3.42221608294051
"Smp_003980",2.96445060712134,1.2081293206545,2.9106768950148,2.69609176933201,2.46922023607784,2.83762009089721,1.2081293206545,2.98251429468298
"Smp_003990",2.75034284411606,3.78240430880137,3.72678582667194,4.35473989195789,3.27993694012844,4.58766071267676,3.18671566246399,3.7506137038207
"Smp_004070",1.2081293206545,3.13357922150312,2.44487903255873,2.82531425764473,2.46922023607784,1.2081293206545,1.2081293206545,1.2081293206545
"Smp_004080",3.44635978429552,2.616371025604,2.44487903255873,2.17336430922593,2.9425531771256,3.00911017896451,1.2081293206545,3.42221608294051
"Smp_004170",3.14622159481781,5.63712798062014,2.44487903255873,2.82531425764473,3.27993694012844,2.83762009089721,1.2081293206545,2.27396689568483
"Smp_004190",1.8625198419253,3.13357922150312,2.44487903255873,2.54989643131393,2.46922023607784,3.00911017896451,1.2081293206545,1.2081293206545
"Smp_004220",3.30498825049411,1.2081293206545,3.50701332349954,3.04764138186029,3.54678038610347,2.83762009089721,3.84714693995738,2.98251429468298
"Smp_004310",2.48597626056559,1.2081293206545,2.44487903255873,2.82531425764473,2.9425531771256,2.83762009089721,1.2081293206545,2.98251429468298
"Smp_004470",2.12597357661805,1.2081293206545,1.2081293206545,2.54989643131393,3.27993694012844,2.83762009089721,3.84714693995738,1.2081293206545
"Smp_004480",2.75034284411606,1.2081293206545,2.44487903255873,2.54989643131393,2.46922023607784,2.38931531450932,1.2081293206545,2.27396689568483
"Smp_004550",2.75034284411606,3.13357922150312,3.24341273453535,1.2081293206545,3.12258745962396,2.83762009089721,1.2081293206545,1.2081293206545
"Smp_004600",3.30498825049411,3.13357922150312,2.44487903255873,2.17336430922593,3.76896903865546,3.62939506912507,1.2081293206545,3.42221608294051
"Smp_004680",2.12597357661805,1.2081293206545,2.44487903255873,3.39987264766693,2.9425531771256,3.15944864792049,1.2081293206545,2.6846724602887
"Smp_004730",2.12597357661805,1.2081293206545,1.2081293206545,2.54989643131393,2.46922023607784,2.05468086130915,2.65770292933763,1.2081293206545
"Smp_004780",2.96445060712134,1.2081293206545,3.24341273453535,3.39987264766693,4.27728669158447,3.41537650121166,3.18671566246399,2.98251429468298
"Smp_004820",2.12597357661805,1.2081293206545,3.50701332349954,2.54989643131393,2.9425531771256,3.15944864792049,1.2081293206545,1.2081293206545
"Smp_004910",2.86225952993763,1.2081293206545,2.44487903255873,2.82531425764473,3.54678038610347,2.38931531450932,3.18671566246399,2.6846724602887
"Smp_004940",2.12597357661805,1.2081293206545,2.9106768950148,2.54989643131393,1.2081293206545,3.41537650121166,1.2081293206545,2.98251429468298
"Smp_004990",4.30925715012242,1.2081293206545,3.72678582667194,4.00862617893686,4.12762355911673,3.81396672289621,4.62573055669296,3.88906131992708
"Smp_005010",2.96445060712134,1.2081293206545,2.44487903255873,1.2081293206545,3.12258745962396,3.00911017896451,1.2081293206545,2.98251429468298
"Smp_005020",3.51172395933689,1.2081293206545,2.44487903255873,3.54560616721365,2.73064612457211,3.41537650121166,1.2081293206545,3.42221608294051
"Smp_005080",2.12597357661805,1.2081293206545,1.2081293206545,3.23586467550888,3.54678038610347,2.38931531450932,1.2081293206545,1.2081293206545
"Smp_005160",2.75034284411606,1.2081293206545,2.44487903255873,2.17336430922593,2.46922023607784,2.05468086130915,1.2081293206545,2.4998201931206
"Smp_005180",3.44635978429552,1.2081293206545,2.9106768950148,3.39987264766693,3.76896903865546,3.97654106947853,1.2081293206545,3.51218699769778
