"","Geneid","n"
"266","Smp_021760",2
"267","Smp_021830",1
"268","Smp_021920",3
"269","Smp_022140",2
"270","Smp_022320",2
"271","Smp_022340",1
"272","Smp_022450",3
"273","Smp_022500",2
"274","Smp_022540",2
"275","Smp_022570",1
"276","Smp_022700",3
"277","Smp_022810",3
"278","Smp_022850",2
"279","Smp_022890",1
"280","Smp_022960",3
"281","Smp_022990",3
"282","Smp_023150",2
"283","Smp_023230",1
"284","Smp_023550",2
"285","Smp_023660",2
"286","Smp_023700",3
"287","Smp_023930",1
"288","Smp_023940",1
"289","Smp_024000",1
"290","Smp_024150",2
"291","Smp_024240",3
"292","Smp_024370",3
"293","Smp_024390",1
"294","Smp_024490",1
"295","Smp_024520",1
"296","Smp_024580",2
"297","Smp_024590",3
"298","Smp_024660",1
"299","Smp_024820",1
"300","Smp_024970",3
"301","Smp_025020",1
"302","Smp_025150",3
"303","Smp_025160",3
"304","Smp_025340",1
"305","Smp_025360",1
"306","Smp_025620",1
"307","Smp_025670",1
"308","Smp_025680",1
"309","Smp_025740",2
"310","Smp_025750",2
"311","Smp_026030",1
"312","Smp_026090",2
"313","Smp_026190",2
"314","Smp_026250",1
"315","Smp_026270",1
"316","Smp_026280",2
"317","Smp_026300",3
"318","Smp_026320",3
"319","Smp_026390",2
"320","Smp_026420",3
"321","Smp_026510",2
"322","Smp_026540",1
"323","Smp_026630",2
"324","Smp_026700",3
"325","Smp_026770",3
"326","Smp_026820",3
"327","Smp_026830",1
"328","Smp_026910",3
"329","Smp_026930",2
"330","Smp_027000",3
"331","Smp_027080",3
"332","Smp_027220",2
"333","Smp_027240",1
"334","Smp_027340",1
"335","Smp_027370",1
"336","Smp_027390",1
"337","Smp_027400",3
"338","Smp_027450",1
"339","Smp_027850",1
"340","Smp_027870",1
"341","Smp_027880",2
"342","Smp_027970",3
"343","Smp_027990",2
"344","Smp_028050",1
"345","Smp_028120",1
"346","Smp_028140",1
"347","Smp_028200",3
"348","Smp_028210",2
"349","Smp_028360",1
"350","Smp_028430",1
"351","Smp_028690",2
"352","Smp_028730",3
"353","Smp_028800",1
"354","Smp_028860",1
"355","Smp_028940",2
"356","Smp_028990",2
"357","Smp_029070",3
"358","Smp_029160",1
"359","Smp_029360",2
"360","Smp_029370",1
"361","Smp_029390",2
"362","Smp_029500",1
"363","Smp_029700",2
"364","Smp_029740",3
"365","Smp_029800",1
"366","Smp_029850",3
"367","Smp_029900",3
"368","Smp_029940",2
"369","Smp_029970",1
"370","Smp_029990",1
"371","Smp_030000",2
"372","Smp_030010",2
"373","Smp_030020",2
"374","Smp_030110",2
"375","Smp_030180",3
"376","Smp_030220",3
"377","Smp_030250",2
"378","Smp_030260",2
"379","Smp_030280",3
"380","Smp_030330",2
"381","Smp_030440",3
"382","Smp_030870",1
"383","Smp_030930",1
"384","Smp_031000",2
"385","Smp_031010",1
"386","Smp_031070",3
"387","Smp_031100",1
"388","Smp_031220",1
"389","Smp_031560",1
"390","Smp_031590",2
"391","Smp_031710",2
"392","Smp_031730",1
"393","Smp_031950",2
"394","Smp_031990",2
"395","Smp_032000",1
"396","Smp_032060",2
"397","Smp_032120",3
"398","Smp_032150",1
"399","Smp_032230",2
"400","Smp_032240",2
"401","Smp_032250",2
"402","Smp_032310",1
"403","Smp_032500",2
"404","Smp_032820",2
"405","Smp_032950",3
"406","Smp_033040",1
"407","Smp_033110",1
"408","Smp_033140",1
"409","Smp_033330",2
"410","Smp_033350",1
"411","Smp_033540",2
"412","Smp_033600",1
"413","Smp_033610",3
"414","Smp_033660",2
"415","Smp_033680",2
"416","Smp_033870",2
"417","Smp_033970",1
"418","Smp_034270",2
"419","Smp_034410",1
"420","Smp_034430",2
"421","Smp_034450",3
"422","Smp_034550",3
"423","Smp_034670",3
"424","Smp_034680",1
"425","Smp_034870",2
"426","Smp_034920",1
"427","Smp_035000",1
"428","Smp_035010",3
"429","Smp_035020",3
"430","Smp_035080",1
"431","Smp_035090",3
"432","Smp_035110",1
"433","Smp_035150",3
"434","Smp_035190",3
"435","Smp_035220",1
"436","Smp_035270",2
"437","Smp_035290",3
"438","Smp_035300",1
"439","Smp_035310",2
"440","Smp_035380",2
"441","Smp_035430",1
"442","Smp_035460",1
"443","Smp_035500",2
"444","Smp_035620",3
"445","Smp_035650",1
"446","Smp_035700",1
"447","Smp_035730",2
"448","Smp_035790",2
"449","Smp_035800",3
"450","Smp_036060",1
"451","Smp_036180",3
"452","Smp_036250",2
"453","Smp_036400",3
"454","Smp_036500",2
"455","Smp_036550",3
"456","Smp_036590",2
"457","Smp_036630",2
"458","Smp_036720",1
"459","Smp_036780",3
"460","Smp_036950",2
"461","Smp_036980",2
"462","Smp_036990",2
"463","Smp_037530",1
"464","Smp_037640",3
"465","Smp_037780",3
"466","Smp_037930",2
"467","Smp_037960",3
"468","Smp_038030",1
"469","Smp_038140",1
"470","Smp_038330",2
"471","Smp_038340",2
"472","Smp_038410",1
"473","Smp_038420",1
"474","Smp_038440",1
"475","Smp_038540",1
"476","Smp_038700",3
"477","Smp_038820",2
"478","Smp_038830",1
"479","Smp_038940",2
"480","Smp_039000",3
"481","Smp_039080",1
"482","Smp_039130",2
"483","Smp_039160",1
"484","Smp_039590",1
"485","Smp_039650",3
"486","Smp_039740",2
"487","Smp_039750",3
"488","Smp_039870",3
"489","Smp_039970",1
"490","Smp_040020",2
"491","Smp_040080",1
"492","Smp_040280",3
"493","Smp_040360",1
"494","Smp_040500",3
"495","Smp_040510",1
"496","Smp_040560",2
"497","Smp_040610",1
"498","Smp_040720",1
"499","Smp_040960",2
"500","Smp_041060",1
"501","Smp_041100",2
"502","Smp_041190",2
"503","Smp_041320",1
"504","Smp_041370",1
"505","Smp_041390",2
"506","Smp_041490",2
"507","Smp_041500",2
"508","Smp_041550",3
"509","Smp_041630",2
"510","Smp_041650",3
"511","Smp_041700",2
"512","Smp_041750",2
"513","Smp_041980",3
"514","Smp_042020",2
"515","Smp_042030",1
"516","Smp_042050",3
"517","Smp_042060",2
"518","Smp_042080",3
"519","Smp_042110",3
"520","Smp_042140",2
"521","Smp_042210",1
"522","Smp_042340",3
"523","Smp_042390",1
"524","Smp_042400",3
"525","Smp_042430",1
"526","Smp_042440",1
"527","Smp_042550",1
"528","Smp_042560",3
"529","Smp_042630",3
"530","Smp_042670",3
"531","Smp_042680",1
"532","Smp_042700",2
"533","Smp_042770",2
"534","Smp_042790",1
"535","Smp_042910",1
"536","Smp_042980",1
"537","Smp_043030",2
"538","Smp_043070",1
"539","Smp_043120",2
"540","Smp_043130",2
"541","Smp_043210",2
"542","Smp_043220",2
"543","Smp_043350",1
"544","Smp_043610",1
"545","Smp_043910",1
"546","Smp_043990",2
"547","Smp_044020",2
"548","Smp_044060",1
"549","Smp_044440",2
"550","Smp_044520",1
"551","Smp_044530",1
"552","Smp_044560",1
"553","Smp_044690",1
"554","Smp_044810",3
"555","Smp_044920",2
"556","Smp_044950",2
"557","Smp_045250",2
"558","Smp_045260",2
"559","Smp_045300",2
"560","Smp_045410",2
"561","Smp_045420",1
"562","Smp_045430",2
"563","Smp_045500",2
"564","Smp_045550",1
"565","Smp_045560",1
"566","Smp_045710",1
"567","Smp_045750",2
"568","Smp_045760",1
"569","Smp_045780",1
"570","Smp_045790",1
"571","Smp_045810",3
"572","Smp_045860",1
"573","Smp_045930",1
"574","Smp_045960",3
"575","Smp_045990",1
"576","Smp_046020",3
"577","Smp_046160",3
"578","Smp_046190",2
"579","Smp_046290",2
"580","Smp_046360",3
"581","Smp_046500",1
"582","Smp_046550",3
"583","Smp_046630",3
"584","Smp_046680",2
"585","Smp_046740",3
"586","Smp_046750",1
"587","Smp_046790",2
"588","Smp_046800",2
"589","Smp_046870",2
"590","Smp_046900",1
"591","Smp_046910",1
"592","Smp_047060",3
"593","Smp_047110",3
"594","Smp_047190",3
"595","Smp_047240",2
"596","Smp_047330",1
"597","Smp_047370",3
"598","Smp_047440",3
"599","Smp_047450",2
"600","Smp_047540",1
"601","Smp_047550",2
"602","Smp_047610",1
"603","Smp_047620",1
"604","Smp_047650",3
"605","Smp_047740",2
"606","Smp_047870",2
"607","Smp_048230",3
"608","Smp_048420",3
"609","Smp_048520",1
"610","Smp_048540",2
"611","Smp_048550",1
"612","Smp_048560",2
"613","Smp_048620",2
"614","Smp_048760",3
"615","Smp_048830",2
"616","Smp_048930",1
"617","Smp_048940",2
"618","Smp_048970",2
"619","Smp_048980",1
"620","Smp_049000",3
"621","Smp_049010",2
"622","Smp_049140",3
"623","Smp_049150",2
"624","Smp_049170",3
"625","Smp_049270",3
"626","Smp_049380",3
"627","Smp_049390",2
"628","Smp_049500",3
"629","Smp_049600",2
"630","Smp_049740",2
"631","Smp_049760",1
"632","Smp_049880",3
"633","Smp_049910",2
"634","Smp_049920",2
"635","Smp_049930",3
"636","Smp_049970",3
"637","Smp_049990",2
"638","Smp_050080",3
"639","Smp_050130",3
"640","Smp_050250",3
"641","Smp_050270",2
"642","Smp_050350",2
"643","Smp_050380",2
"644","Smp_050430",2
"645","Smp_050470",3
"646","Smp_050520",1
"647","Smp_050540",3
"648","Smp_050590",2
"649","Smp_050730",2
"650","Smp_050740",2
"651","Smp_050760",2
"652","Smp_050820",1
"653","Smp_050880",2
"654","Smp_051000",3
"655","Smp_051010",3
"656","Smp_051090",2
"657","Smp_051120",1
"658","Smp_051130",1
"659","Smp_051320",1
"660","Smp_051360",2
"661","Smp_051390",1
"662","Smp_051420",3
"663","Smp_051550",2
"664","Smp_051660",2
"665","Smp_051810",2
"666","Smp_051920",2
"667","Smp_051930",3
"668","Smp_052140",3
"669","Smp_052280",3
"670","Smp_052390",1
"671","Smp_052630",1
"672","Smp_052740",3
"673","Smp_052750",1
"674","Smp_052790",1
"675","Smp_052800",3
"676","Smp_053020",2
"677","Smp_053030",2
"678","Smp_053040",1
"679","Smp_053160",1
"680","Smp_053300",3
"681","Smp_053420",1
"682","Smp_053470",2
"683","Smp_053550",2
"684","Smp_053700",3
"685","Smp_053780",3
"686","Smp_053790",1
"687","Smp_053900",3
"688","Smp_053990",2
"689","Smp_054010",3
"690","Smp_054070",3
"691","Smp_054200",1
"692","Smp_054220",2
"693","Smp_054310",1
"694","Smp_054330",2
"695","Smp_054360",3
"696","Smp_054410",2
"697","Smp_054600",2
"698","Smp_054610",3
"699","Smp_054620",1
"700","Smp_054770",3
"701","Smp_054810",2
"702","Smp_054820",2
"703","Smp_055090",2
"704","Smp_055130",3
"705","Smp_055190",3
"706","Smp_055220",3
"707","Smp_055310",1
"708","Smp_055390",1
"709","Smp_055400",2
"710","Smp_055420",1
"711","Smp_055450",1
"712","Smp_055600",3
"713","Smp_055630",2
"714","Smp_055740",2
"715","Smp_055760",2
"716","Smp_055870",3
"717","Smp_055890",3
"718","Smp_055920",2
"719","Smp_056390",1
"720","Smp_056770",1
"721","Smp_056780",2
"722","Smp_056850",2
"723","Smp_056860",1
"724","Smp_056930",3
"725","Smp_056990",2
"726","Smp_057020",2
"727","Smp_057060",2
"728","Smp_057090",2
"729","Smp_057130",3
"730","Smp_057210",2
"731","Smp_057360",1
"732","Smp_057590",1
"733","Smp_057650",3
"734","Smp_058050",1
"735","Smp_058130",1
"736","Smp_058140",1
"737","Smp_058190",1
"738","Smp_058350",3
"739","Smp_058400",1
"740","Smp_058410",1
"741","Smp_058530",1
"742","Smp_058790",3
"743","Smp_058850",1
"744","Smp_058980",2
"745","Smp_059100",1
"746","Smp_059150",1
"747","Smp_059290",1
"748","Smp_059570",2
"749","Smp_059670",3
"750","Smp_059710",2
"751","Smp_059750",3
"752","Smp_059810",3
"753","Smp_059870",1
"754","Smp_059910",1
"755","Smp_059930",2
"756","Smp_059980",1
"757","Smp_060010",2
"758","Smp_060030",1
"759","Smp_060070",1
"760","Smp_060170",1
"761","Smp_060180",1
"762","Smp_060240",3
"763","Smp_060270",2
"764","Smp_060570",1
"765","Smp_060700",2
"766","Smp_060820",3
"767","Smp_060900",2
"768","Smp_060940",3
"769","Smp_061040",3
"770","Smp_061210",1
"771","Smp_061540",1
"772","Smp_061560",3
"773","Smp_061570",1
"774","Smp_061650",2
"775","Smp_061680",2
"776","Smp_061870",2
"777","Smp_061970",2
"778","Smp_062070",1
"779","Smp_062260",2
"780","Smp_062510",3
"781","Smp_062530",2
"782","Smp_062550",1
"783","Smp_062680",2
"784","Smp_062790",2
"785","Smp_062950",3
"786","Smp_062970",1
"787","Smp_063000",1
"788","Smp_063030",2
"789","Smp_063040",2
"790","Smp_063090",3
"791","Smp_063110",3
"792","Smp_063190",3
"793","Smp_063250",1
"794","Smp_063260",2
"795","Smp_063500",3
"796","Smp_063540",3
"797","Smp_063580",2
"798","Smp_063650",2
"799","Smp_063670",2
"800","Smp_063830",2
"801","Smp_064020",1
"802","Smp_064030",3
"803","Smp_064150",1
"804","Smp_064240",3
"805","Smp_064250",2
"806","Smp_064280",3
"807","Smp_064330",3
"808","Smp_064350",3
"809","Smp_064380",3
"810","Smp_064390",2
"811","Smp_064400",2
"812","Smp_064430",1
"813","Smp_064460",1
"814","Smp_064600",2
"815","Smp_064640",1
"816","Smp_064650",2
"817","Smp_064750",3
"818","Smp_064800",2
"819","Smp_065060",1
"820","Smp_065120",2
"821","Smp_065130",2
"822","Smp_065150",2
"823","Smp_065160",3
"824","Smp_065170",1
"825","Smp_065180",2
"826","Smp_065190",3
"827","Smp_065240",3
"828","Smp_065290",1
"829","Smp_065420",1
"830","Smp_065470",3
"831","Smp_065810",1
"832","Smp_065890",2
"833","Smp_065980",1
"834","Smp_066050",1
"835","Smp_066260",1
"836","Smp_066330",3
"837","Smp_066340",1
"838","Smp_066480",1
"839","Smp_066670",1
"840","Smp_066730",2
"841","Smp_066820",3
"842","Smp_066900",2
"843","Smp_066930",1
"844","Smp_066940",3
"845","Smp_066960",2
"846","Smp_067090",1
"847","Smp_067260",1
"848","Smp_067420",2
"849","Smp_067580",1
"850","Smp_067590",3
"851","Smp_067780",1
"852","Smp_067890",2
"853","Smp_067930",3
"854","Smp_068000",2
"855","Smp_068170",2
"856","Smp_068300",3
"857","Smp_068340",2
"858","Smp_068440",2
"859","Smp_068480",2
"860","Smp_068500",2
"861","Smp_068580",3
"862","Smp_068720",3
"863","Smp_068760",2
"864","Smp_068950",3
"865","Smp_068990",1
"866","Smp_069220",1
"867","Smp_069240",1
"868","Smp_069380",1
"869","Smp_069600",3
"870","Smp_069770",3
"871","Smp_069810",2
"872","Smp_069840",2
"873","Smp_069910",1
"874","Smp_070020",3
"875","Smp_070100",1
"876","Smp_070110",2
"877","Smp_070130",2
"878","Smp_070170",3
"879","Smp_070190",3
"880","Smp_070250",2
"881","Smp_070310",3
