"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_012110",4,0,0,4,0,4,0,2
"Smp_012150",6,0,2,1,2,0,1,5
"Smp_012280",4,2,2,2,0,2,0,4
"Smp_012340",6,2,4,2,0,2,0,6
"Smp_012470",2,0,2,4,8,12,0,8
"Smp_012570",4,0,0,2,2,2,0,4
"Smp_012690",1,3,1,4,2,0,1,5
"Smp_012720",6,0,4,0,0,2,0,1
"Smp_012740",6,4,3,4,7,8,0,1
"Smp_012750",17,0,4,10,4,14,0,4
"Smp_012860",0,0,0,4,2,10,0,7
"Smp_012900",4,0,0,2,0,4,0,4
"Smp_012930",4,0,0,2,8,0,0,6
"Smp_013040",2,2,4,0,4,7,0,2
"Smp_013200",20,4,2,18,8,42,2,16
"Smp_013210",0,0,4,0,1,7,0,1
"Smp_013300",2,0,2,2,2,2,0,4
"Smp_013360",4,0,0,4,1,4,0,4
"Smp_013370",31,13,15,9,5,27,3,12
"Smp_013470",16,8,14,26,6,40,0,18
"Smp_013790",8,2,2,8,4,6,4,2
"Smp_013840",4,4,11,6,6,14,0,8
"Smp_013870",2,0,2,2,10,3,0,0
"Smp_013930",31,23,35,45,19,23,2,30
"Smp_014010",4,0,0,4,0,4,0,2
"Smp_014050",2,0,1,0,2,2,2,1
"Smp_014170",6,0,1,2,6,4,0,6
"Smp_014290",0,0,4,2,6,5,0,6
"Smp_014400",0,0,0,3,4,4,0,9
"Smp_014650",12,2,2,2,2,17,2,2
"Smp_014660",4,0,2,4,0,0,0,4
"Smp_014800",5,0,2,3,0,2,0,0
"Smp_015050",0,0,4,3,0,2,2,2
"Smp_015090",6,0,0,12,4,6,1,6
"Smp_015220",4,2,0,2,1,2,0,0
"Smp_015530",5,2,0,13,8,8,0,18
"Smp_015690",10,4,6,14,2,9,2,40
"Smp_015720",2,0,2,4,2,4,0,2
"Smp_015840",10,0,0,2,2,2,0,0
"Smp_015860",1,0,4,3,2,4,0,0
"Smp_016050",4,1,4,10,4,2,0,4
"Smp_016090",3,0,2,4,0,2,0,0
"Smp_016410",4,0,2,6,0,2,0,2
"Smp_016550",2,0,2,2,2,4,0,0
"Smp_016630",7,2,0,0,1,4,0,6
"Smp_016730",45,20,12,43,13,40,3,16
"Smp_016900",2,0,0,6,4,2,0,2
"Smp_017010",18,2,8,8,8,8,0,7
"Smp_017070",0,2,0,3,0,4,0,4
"Smp_017280",16,0,12,8,14,20,0,12
"Smp_017360",14,0,12,18,12,6,2,20
"Smp_017430",14,4,0,8,10,12,0,16
"Smp_017660",6,2,0,10,8,12,0,4
"Smp_017710",2,0,2,8,2,2,2,6
"Smp_017730",4,2,2,2,0,0,0,8
"Smp_017750",4,2,2,2,4,10,0,0
"Smp_017830",4,2,0,4,2,10,0,4
"Smp_018220",5,3,3,0,1,2,0,2
"Smp_018240",10,2,2,8,2,10,0,4
"Smp_018250",4,0,4,12,0,4,2,6
"Smp_018310",4,2,6,4,6,4,0,10
"Smp_018360",0,2,0,2,2,4,2,4
"Smp_018530",22,4,12,6,16,12,4,12
"Smp_018760",0,0,2,3,2,2,0,2
"Smp_018990",6,0,2,4,2,4,0,4
"Smp_019170",4,2,0,2,4,4,0,0
"Smp_019190",0,2,0,4,4,4,0,10
"Smp_019260",15,3,1,9,4,2,2,9
"Smp_019430",0,0,2,4,0,6,0,2
"Smp_019440",4,0,4,2,4,8,0,6
"Smp_019630",6,2,2,6,8,4,4,4
"Smp_019680",12,0,0,2,4,4,0,8
"Smp_019690",6,0,4,10,8,16,0,6
"Smp_019730",8,4,8,12,6,20,0,4
"Smp_019750",0,2,2,4,0,6,0,2
"Smp_019790",0,0,0,4,6,6,0,8
"Smp_019820",10,0,0,6,4,5,0,5
"Smp_019840",0,0,0,3,6,2,0,4
"Smp_019880",2,0,2,4,0,2,0,2
"Smp_019950",4,0,2,2,2,6,0,2
"Smp_020050",2,0,0,4,0,2,0,2
"Smp_020060",7,0,3,1,0,4,0,6
"Smp_020130",2,0,2,6,2,4,0,2
"Smp_020370",2,0,2,2,2,5,0,6
"Smp_020550",2,2,4,4,0,9,2,6
"Smp_020590",80,16,29,72,39,49,12,111
"Smp_020760",2,0,0,4,2,2,0,0
"Smp_020770",2,0,2,2,2,6,2,2
"Smp_020920",0,0,4,4,2,9,0,6
"Smp_021040",4,2,3,2,0,4,0,2
"Smp_021140",6,0,0,6,2,6,0,0
"Smp_021170",6,0,1,6,0,2,0,7
"Smp_021220",0,0,5,8,4,10,0,6
"Smp_021340",2,2,2,4,2,10,2,2
"Smp_021370",4,0,2,6,4,10,0,12
"Smp_021460",4,2,4,0,4,2,0,4
"Smp_021730",8,2,2,10,4,18,0,4
"Smp_021910",2,0,2,2,0,6,0,2
"Smp_021960",9,1,6,10,5,5,1,7
"Smp_022020",0,2,3,4,2,0,0,2
"Smp_022090",4,0,0,0,2,8,0,2
"Smp_022110",0,0,2,2,6,4,0,2
"Smp_022330",2,1,0,4,0,8,0,2
"Smp_022400",4,0,0,12,3,2,0,6
"Smp_022430",2,0,2,2,0,4,0,3
"Smp_022470",5,2,2,0,0,2,0,3
"Smp_022640",6,0,2,4,2,4,0,2
"Smp_022660",18,4,4,16,12,20,2,18
"Smp_023010",6,0,0,1,2,4,0,3
"Smp_023170",2,2,10,4,2,36,0,8
"Smp_023250",4,0,2,0,2,0,0,2
"Smp_023360",4,0,2,0,0,10,0,12
"Smp_023470",6,0,6,5,4,6,0,2
"Smp_023840",3,0,0,7,2,6,0,2
"Smp_024030",30,14,32,36,24,47,4,38
"Smp_024110",8,0,0,8,0,13,0,8
"Smp_024120",6,0,2,4,8,4,0,2
"Smp_024140",26,4,8,30,14,30,0,10
"Smp_024360",2,0,2,0,2,4,0,2
"Smp_024380",2,0,2,4,0,2,0,2
"Smp_024500",2,0,1,0,0,5,0,4
"Smp_024850",12,2,10,10,8,10,0,18
"Smp_024880",4,0,4,2,2,12,0,8
"Smp_024900",48,16,29,35,3,32,12,37
"Smp_025010",2,0,2,4,0,2,0,4
"Smp_025030",0,0,0,5,2,4,0,2
"Smp_025100",2,2,2,0,2,4,0,4
"Smp_025130",2,0,0,0,4,4,0,2
"Smp_025260",3,0,2,0,0,2,1,2
"Smp_025380",8,2,16,4,2,10,0,6
"Smp_025510",0,0,4,2,0,4,0,6
"Smp_025550",2,2,2,2,0,0,0,2
"Smp_025560",2,0,2,0,0,4,1,2
"Smp_025570",9,0,8,5,5,12,2,8
"Smp_025700",2,0,0,2,0,2,0,4
"Smp_025860",4,4,0,4,6,10,0,6
"Smp_026160",4,0,4,4,4,4,2,0
"Smp_026230",0,0,4,4,0,4,0,2
"Smp_026260",4,0,0,4,2,6,0,6
"Smp_026340",10,2,0,2,0,0,0,6
"Smp_026560",8,2,6,24,4,32,0,18
"Smp_026920",2,1,1,3,1,1,0,1
"Smp_027010",0,2,0,4,2,2,0,4
"Smp_027250",4,1,0,2,2,6,0,0
"Smp_027480",2,0,4,0,0,2,0,2
"Smp_027550",13,4,3,3,4,9,2,6
"Smp_027610",12,0,6,8,4,8,2,14
"Smp_027910",3,0,3,0,0,1,0,6
"Smp_027920",10,0,6,20,16,14,2,16
"Smp_028030",3,2,2,0,0,2,0,2
"Smp_028060",2,2,0,4,2,6,0,0
"Smp_028100",4,0,0,0,4,8,0,4
"Smp_028170",2,2,2,0,2,2,0,4
"Smp_028190",0,4,2,6,0,8,0,6
"Smp_028330",10,0,0,4,2,8,0,6
"Smp_028340",4,0,0,2,2,0,0,2
"Smp_028410",3,1,3,4,0,1,0,1
"Smp_028440",4,0,6,4,10,6,0,8
"Smp_028500",9,0,4,14,5,24,0,10
"Smp_028650",2,0,0,6,2,2,0,0
"Smp_028980",2,2,0,2,2,2,0,0
"Smp_029060",4,0,0,2,2,6,0,0
"Smp_029240",8,0,2,1,4,12,0,12
"Smp_029400",0,0,2,8,0,4,0,4
"Smp_029670",38,16,8,46,10,27,1,20
"Smp_029820",2,0,6,0,6,12,0,0
"Smp_029890",2,0,2,4,2,4,0,3
"Smp_030290",0,0,0,6,2,10,0,4
"Smp_030320",2,0,2,0,0,2,0,4
"Smp_030370",2,0,2,8,12,8,2,14
